Skill,Affinity
Dryleaf Whirlwind,Standard
Dryleaf Whirlwind,Lightning
Dryleaf Whirlwind,Blood
Dryleaf Whirlwind,Poison
Dryleaf Whirlwind,Sacred
Aspects of the Crucible: Wings,Standard
Aspects of the Crucible: Wings,Heavy
Aspects of the Crucible: Wings,Keen
Aspects of the Crucible: Wings,Quality
Aspects of the Crucible: Wings,Lightning
Aspects of the Crucible: Wings,Sacred
Spinning Gravity Thrust,Standard
Spinning Gravity Thrust,Heavy
Spinning Gravity Thrust,Keen
Spinning Gravity Thrust,Quality
Spinning Gravity Thrust,Magic
Spinning Gravity Thrust,Fire
Spinning Gravity Thrust,Flame Art
Spinning Gravity Thrust,Lightning
Spinning Gravity Thrust,Sacred
Spinning Gravity Thrust,Poison
Spinning Gravity Thrust,Blood
Spinning Gravity Thrust,Occult
Spinning Gravity Thrust,Cold
Palm Blast,Standard
Palm Blast,Blood
Palm Blast,Lightning
Palm Blast,Poison
Palm Blast,Sacred
Piercing Throw,Keen
Piercing Throw,Blood
Piercing Throw,Lightning
Piercing Throw,Poison
Piercing Throw,Sacred
Scattershot Throw,Keen
Scattershot Throw,Blood
Scattershot Throw,Lightning
Scattershot Throw,Poison
Scattershot Throw,Sacred
Wall of Sparks,Standard
Wall of Sparks,Blood
Wall of Sparks,Lightning
Wall of Sparks,Poison
Wall of Sparks,Sacred
Rolling Sparks,Standard
Rolling Sparks,Blood
Rolling Sparks,Lightning
Rolling Sparks,Poison
Rolling Sparks,Sacred
Raging Beast,Keen
Raging Beast,Blood
Raging Beast,Lightning
Raging Beast,Poison
Raging Beast,Sacred
Savage Claws,Keen
Savage Claws,Blood
Savage Claws,Lightning
Savage Claws,Poison
Savage Claws,Sacred
Blind Spot,Keen
Blind Spot,Blood
Blind Spot,Lightning
Blind Spot,Poison
Blind Spot,Sacred
Swift Slash,Standard
Swift Slash,Heavy
Swift Slash,Keen
Swift Slash,Quality
Swift Slash,Magic
Swift Slash,Fire
Swift Slash,Flame Art
Swift Slash,Lightning
Swift Slash,Sacred
Swift Slash,Poison
Swift Slash,Blood
Swift Slash,Occult
Swift Slash,Cold
Overhead Stance,Keen
Overhead Stance,Heavy
Overhead Stance,Blood
Overhead Stance,Lightning
Overhead Stance,Poison
Overhead Stance,Sacred
Wing Stance,Quality
Wing Stance,Heavy
Wing Stance,Blood
Wing Stance,Lightning
Wing Stance,Poison
Wing Stance,Sacred
Blinkbolt,Lightning
Blinkbolt,Heavy
Blinkbolt,Blood
Blinkbolt,Poison
Blinkbolt,Sacred
Flame Skewer,Flame Art
Flame Skewer,Fire
Flame Skewer,Heavy
Flame Skewer,Blood
Flame Skewer,Lightning
Flame Skewer,Poison
Flame Skewer,Sacred
Savage Lion's Claw,Heavy
Savage Lion's Claw,Blood
Savage Lion's Claw,Lightning
Savage Lion's Claw,Poison
Savage Lion's Claw,Sacred
Divine Beast Frost Stomp,Cold
Divine Beast Frost Stomp,Heavy
Divine Beast Frost Stomp,Magic
Divine Beast Frost Stomp,Blood
Divine Beast Frost Stomp,Lightning
Divine Beast Frost Stomp,Poison
Divine Beast Frost Stomp,Sacred
Flame Spear,Flame Art
Flame Spear,Fire
Flame Spear,Heavy
Flame Spear,Blood
Flame Spear,Lightning
Flame Spear,Poison
Flame Spear,Sacred
Carian Sovereignty,Standard
Carian Sovereignty,Heavy
Carian Sovereignty,Keen
Carian Sovereignty,Quality
Carian Sovereignty,Magic
Carian Sovereignty,Cold
Shriek of Sorrow,Occult
Shriek of Sorrow,Fire
Shriek of Sorrow,Heavy
Shriek of Sorrow,Blood
Ghostflame Call,Cold
Ghostflame Call,Heavy
Ghostflame Call,Magic
Ghostflame Call,Fire
Ghostflame Call,Blood
Ghostflame Call,Lightning
Ghostflame Call,Poison
Ghostflame Call,Sacred
The Poison Flower Blooms Twice,Standard
