SkillFamily,Hit,UniqueWeapon,PhysMv,MagicMv,FireMv,LtngMv,HolyMv,StatusMv,PoiseMv,StaminaCost,AtkPhys,AtkMag,AtkFire,AtkLtng,AtkHoly,AddBaseAtk,OverwriteScaling,LackingFp
Stamp (Upward Cut),Stamp (Upward Cut),Any,215.0,215.0,215.0,215.0,215.0,100.0,600.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Stamp (Upward Cut),Stamp (Upward Cut) (Lacking FP),Any,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Stamp (Sweep),Stamp (Sweep) [1],Any,92.0,92.0,92.0,92.0,92.0,100.0,150.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Stamp (Sweep),Stamp (Sweep) [2],Any,112.0,112.0,112.0,112.0,112.0,100.0,250.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Stamp (Sweep),Stamp (Sweep) [1] (Lacking FP),Any,50.0,50.0,50.0,50.0,50.0,100.0,80.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Stamp (Sweep),Stamp (Sweep) [2] (Lacking FP),Any,70.0,70.0,70.0,70.0,70.0,100.0,100.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0
Wild Strikes,Wild Strikes - Loop [1],Any,107.0,107.0,107.0,107.0,107.0,100.0,90.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes,Wild Strikes - Loop [2],Any,114.0,114.0,114.0,114.0,114.0,100.0,90.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,Wild Strikes R1 [1],Any,45.0,45.0,45.0,45.0,45.0,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Wild Strikes R1,Wild Strikes R1 [2],Any,154.0,154.0,154.0,154.0,154.0,100.0,400.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
