Skill,WeaponClass
Dryleaf Whirlwind,Hand-to-Hand
Aspects of the Crucible: Wings,Sword
Aspects of the Crucible: Wings,Polearm
Aspects of the Crucible: Wings,Dagger
Aspects of the Crucible: Wings,Throwing Blade
Aspects of the Crucible: Wings,Straight Sword
Aspects of the Crucible: Wings,Greatsword
Aspects of the Crucible: Wings,Light Greatsword
Aspects of the Crucible: Wings,Colossal Sword
Aspects of the Crucible: Wings,Curved Sword
Aspects of the Crucible: Wings,Curved Greatsword
Aspects of the Crucible: Wings,Katana
Aspects of the Crucible: Wings,Great Katana
Aspects of the Crucible: Wings,Twinblade
Aspects of the Crucible: Wings,Thrusting Sword
Aspects of the Crucible: Wings,Heavy Thrusting Sword
Aspects of the Crucible: Wings,Spear
Aspects of the Crucible: Wings,Great Spear
Spinning Gravity Thrust,Colossal Sword
Spinning Gravity Thrust,Greatsword
Spinning Gravity Thrust,Curved Greatsword
Spinning Gravity Thrust,Great Katana
Spinning Gravity Thrust,Thrusting Sword
Spinning Gravity Thrust,Heavy Thrusting Sword
Spinning Gravity Thrust,Claw
Palm Blast,Hand-to-Hand
Piercing Throw,Throwing Blade
Scattershot Throw,Throwing Blade
Wall of Sparks,Perfume Bottle
Rolling Sparks,Perfume Bottle
Raging Beast,Beast Claw
Savage Claws,Beast Claw
Blind Spot,Backhand Blade
Swift Slash,Backhand Blade
Overhead Stance,Great Katana
Wing Stance,Light Greatsword
Blinkbolt,AllMelee
Flame Skewer,Straight Sword
Flame Skewer,Greatsword
Flame Skewer,Light Greatsword
Flame Skewer,Colossal Sword
Flame Skewer,Katana
Flame Skewer,Great Katana
Flame Skewer,Twinblade
Flame Skewer,Thrusting Sword
Flame Skewer,Heavy Thrusting Sword
Flame Skewer,Spear
Flame Skewer,Great Spear
Flame Skewer,Halberd
Flame Skewer,Thrusting Shield
Savage Lion's Claw,Axe
Savage Lion's Claw,Hammer
Savage Lion's Claw,Thrusting Sword
Savage Lion's Claw,Straight Sword
Savage Lion's Claw,Greatsword
Savage Lion's Claw,Light Greatsword
Savage Lion's Claw,Colossal Sword
Savage Lion's Claw,Curved Sword
Savage Lion's Claw,Curved Greatsword
Savage Lion's Claw,Katana
Savage Lion's Claw,Great Katana
Savage Lion's Claw,Twinblade
Savage Lion's Claw,Great Hammer
Savage Lion's Claw,Greataxe
Savage Lion's Claw,Flail
Savage Lion's Claw,Colossal Weapon
Divine Beast Frost Stomp,AllMelee
Flame Spear,Claw
Flame Spear,Backhand Blade
Flame Spear,Dagger
Flame Spear,Straight Sword
Flame Spear,Greatsword
Flame Spear,Light Greatsword
Flame Spear,Colossal Sword
Flame Spear,Katana
Flame Spear,Great Katana
Flame Spear,Twinblade
Flame Spear,Thrusting Sword
Flame Spear,Heavy Thrusting Sword
Flame Spear,Spear
Flame Spear,Great Spear
Flame Spear,Halberd
Flame Spear,Thrusting Shield
Carian Sovereignty,Dagger
Carian Sovereignty,Throwing Blade
Carian Sovereignty,Straight Sword
Carian Sovereignty,Greatsword
Carian Sovereignty,Light Greatsword
Carian Sovereignty,Curved Sword
Carian Sovereignty,Curved Greatsword
Carian Sovereignty,Katana
Carian Sovereignty,Great Katana
Carian Sovereignty,Twinblade
Carian Sovereignty,Thrusting Sword
Carian Sovereignty,Heavy Thrusting Sword
Shriek of Sorrow,AllMelee
Shriek of Sorrow,Dagger
Shriek of Sorrow,Throwing Blade
Shriek of Sorrow,Straight Sword
Shriek of Sorrow,Greatsword
Shriek of Sorrow,Light Greatsword
Shriek of Sorrow,Colossal Sword
Shriek of Sorrow,Curved Sword
Shriek of Sorrow,Curved Greatsword
Shriek of Sorrow,Katana
Shriek of Sorrow,Great Katana
Shriek of Sorrow,Twinblade
Shriek of Sorrow,Backhand Blade
Shriek of Sorrow,Thrusting Sword
Shriek of Sorrow,Heavy Thrusting Sword
Shriek of Sorrow,Hammer
Shriek of Sorrow,Great Hammer
Shriek of Sorrow,Axe
Shriek of Sorrow,Greataxe
Shriek of Sorrow,Flail
Shriek of Sorrow,Spear
Shriek of Sorrow,Great Spear
Shriek of Sorrow,Halberd
Shriek of Sorrow,Reaper
Shriek of Sorrow,Fist
Shriek of Sorrow,Hand-to-Hand
Shriek of Sorrow,Claw
Shriek of Sorrow,Beast Claw
Shriek of Sorrow,Whip
Shriek of Sorrow,Colossal Weapon
Shriek of Sorrow,Thrusting Shield
Ghostflame Call,Spear
Ghostflame Call,Twinblade
Ghostflame Call,Backhand Blade
Ghostflame Call,Straight Sword
Ghostflame Call,Greatsword
Ghostflame Call,Light Greatsword
Ghostflame Call,Colossal Sword
Ghostflame Call,Curved Sword
Ghostflame Call,Curved Greatsword
Ghostflame Call,Katana
Ghostflame Call,Great Katana
Ghostflame Call,Thrusting Sword
Ghostflame Call,Heavy Thrusting Sword
Ghostflame Call,Great Spear
Ghostflame Call,Halberd
The Poison Flower Blooms Twice,AllMelee
The Poison Flower Blooms Twice,Dagger
The Poison Flower Blooms Twice,Throwing Blade
The Poison Flower Blooms Twice,Straight Sword
The Poison Flower Blooms Twice,Greatsword
The Poison Flower Blooms Twice,Light Greatsword
The Poison Flower Blooms Twice,Colossal Sword
The Poison Flower Blooms Twice,Curved Sword
The Poison Flower Blooms Twice,Curved Greatsword
The Poison Flower Blooms Twice,Katana
The Poison Flower Blooms Twice,Great Katana
The Poison Flower Blooms Twice,Twinblade
The Poison Flower Blooms Twice,Backhand Blade
The Poison Flower Blooms Twice,Thrusting Sword
The Poison Flower Blooms Twice,Heavy Thrusting Sword
The Poison Flower Blooms Twice,Hammer
The Poison Flower Blooms Twice,Great Hammer
The Poison Flower Blooms Twice,Axe
The Poison Flower Blooms Twice,Greataxe
The Poison Flower Blooms Twice,Flail
The Poison Flower Blooms Twice,Spear
The Poison Flower Blooms Twice,Great Spear
The Poison Flower Blooms Twice,Halberd
The Poison Flower Blooms Twice,Reaper
The Poison Flower Blooms Twice,Fist
The Poison Flower Blooms Twice,Hand-to-Hand
The Poison Flower Blooms Twice,Claw
The Poison Flower Blooms Twice,Beast Claw
The Poison Flower Blooms Twice,Whip
The Poison Flower Blooms Twice,Colossal Weapon
The Poison Flower Blooms Twice,Thrusting Shield
Igon's Drake Hunt,Greatbow
Shield Strike,Shield
Stamp (Upward Cut),Axe
Stamp (Upward Cut),Hammer
Stamp (Upward Cut),Greatsword
Stamp (Upward Cut),Colossal Sword
Stamp (Upward Cut),Curved Greatsword
Stamp (Upward Cut),Great Katana
Stamp (Upward Cut),Heavy Thrusting Sword
Stamp (Upward Cut),Great Hammer
Stamp (Upward Cut),Greataxe
Stamp (Upward Cut),Flail
Stamp (Upward Cut),Colossal Weapon
Stamp (Sweep),Axe
Stamp (Sweep),Hammer
Stamp (Sweep),Greatsword
Stamp (Sweep),Colossal Sword
Stamp (Sweep),Curved Greatsword
Stamp (Sweep),Great Katana
Stamp (Sweep),Heavy Thrusting Sword
Stamp (Sweep),Great Hammer
