Location,Name,ShortName,IsDlc,Health,DefPhys,DefStrike,DefSlash,DefPierce,DefMagic,DefFire,DefLtng,DefHoly,NegPhys,NegStrike,NegSlash,NegPierce,NegMagic,NegFire,NegLtng,NegHoly,ResPoison,ResRot,ResBleed,ResFrost,ResSleep,ResMadness,ResDeath,Poise
Abandoned Cave,Cleanrot Knight (Sickle) [Boss],Cleanrot Knight (Sickle),0.0,2102.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,10.0,10.0,35.0,0.0,20.0,-20.0,0.0,40.0,534.0,9999.0,326.0,326.0,237.0,9999.0,9999.0,65.0
Abandoned Cave,Cleanrot Knight (Spear) [Boss],Cleanrot Knight (Spear),0.0,2102.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,10.0,10.0,35.0,0.0,20.0,-20.0,0.0,40.0,534.0,9999.0,326.0,326.0,237.0,9999.0,9999.0,65.0
Academy Crystal Cave,Crystalian (Spear) [Boss],Crystalian (Spear),0.0,1595.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,91.0,10.0,93.5,93.5,94.0,94.0,94.0,94.0,530.0,530.0,9999.0,530.0,9999.0,9999.0,9999.0,70.0
Academy Crystal Cave,Crystalian (Spear) [Boss] [Cracked],Crystalian (Spear) [Cracked],0.0,1595.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,10.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,530.0,530.0,9999.0,530.0,9999.0,9999.0,9999.0,70.0
Academy Crystal Cave,Crystalian (Staff) [Boss],Crystalian (Staff),0.0,1595.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,91.0,10.0,93.5,93.5,94.0,94.0,94.0,94.0,530.0,530.0,9999.0,530.0,9999.0,9999.0,9999.0,70.0
Academy Crystal Cave,Crystalian (Staff) [Boss] [Cracked],Crystalian (Staff) [Cracked],0.0,1595.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,10.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,530.0,530.0,9999.0,530.0,9999.0,9999.0,9999.0,70.0
Academy of Raya Lucaria,Red Wolf of Radagon [Boss],Red Wolf of Radagon,0.0,2204.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,0.0,0.0,-10.0,0.0,40.0,20.0,20.0,20.0,324.0,324.0,530.0,530.0,324.0,9999.0,9999.0,120.0
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon (Phase 1) [Boss]","Rennala, Queen of the Full Moon (Phase 1)",0.0,3493.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,-10.0,0.0,-10.0,-10.0,80.0,20.0,20.0,20.0,326.0,326.0,326.0,326.0,9999.0,9999.0,9999.0,0.0
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon - Bubble (Phase 1) [Boss]","Rennala, Queen of the Full Moon - Bubble (Phase 1)",0.0,3493.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,326.0,326.0,326.0,326.0,9999.0,9999.0,9999.0,0.0
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon (Phase 2) [Boss]","Rennala, Queen of the Full Moon (Phase 2)",0.0,4097.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,-10.0,0.0,-10.0,-10.0,80.0,40.0,40.0,40.0,534.0,534.0,326.0,534.0,9999.0,9999.0,9999.0,80.0
Ainsel River,Dragonkin Soldier [Boss],Dragonkin Soldier,0.0,7655.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,10.0,10.0,0.0,10.0,20.0,20.0,40.0,20.0,561.0,9999.0,561.0,1207.0,9999.0,9999.0,9999.0,120.0
Ainsel River,Dragonkin Soldier of Nokstella [Boss],Dragonkin Soldier of Nokstella,0.0,4372.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,10.0,10.0,0.0,10.0,20.0,20.0,40.0,20.0,526.0,526.0,526.0,1131.0,9999.0,9999.0,9999.0,120.0
Ainsel River - Boss,"Astel, Naturalborn of the Void [Boss]","Astel, Naturalborn of the Void",0.0,11170.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,10.0,10.0,10.0,10.0,40.0,40.0,40.0,40.0,552.0,552.0,552.0,9999.0,9999.0,9999.0,9999.0,120.0
"Altus Plateau - Abandoned Coffin, Ruin-Strewn Precipice Exit",Ancient Dragon Lansseax [Boss],Ancient Dragon Lansseax,0.0,9087.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,35.0,35.0,35.0,10.0,40.0,40.0,80.0,40.0,556.0,556.0,556.0,556.0,9999.0,9999.0,9999.0,600.0
Altus Plateau - Altus Highway Junction,Night's Cavalry (Flail) [Boss],Night's Cavalry (Flail),0.0,3725.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,334.0,334.0,548.0,548.0,9999.0,9999.0,9999.0,80.0
"Altus Plateau - Bower of Bounty, Writheblood Ruins",Sanguine Noble [Boss],Sanguine Noble,0.0,3128.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,0.0,-10.0,0.0,20.0,40.0,20.0,20.0,239.0,239.0,179.0,239.0,329.0,9999.0,9999.0,65.0
"Altus Plateau - Erdtree-Gazing Hill, Lux Ruins",Demi-Human Queen [Boss],Demi-Human Queen,0.0,3284.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,0.0,-10.0,0.0,0.0,-20.0,0.0,0.0,179.0,179.0,239.0,239.0,239.0,9999.0,9999.0,80.0
"Altus Plateau - Forest-Spanning Greatbridge, St. Trina's Hideaway, Sainted Hero's Grave Entrance",Black Knife Assassin [Boss],Black Knife Assassin,0.0,5413.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,10.0,10.0,10.0,35.0,20.0,20.0,20.0,40.0,9999.0,9999.0,9999.0,334.0,9999.0,9999.0,9999.0,80.0
Altus Plateau - Golden Lineage Evergaol,Godefroy the Grafted [Boss],Godefroy the Grafted,0.0,12419.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,40.0,334.0,334.0,334.0,334.0,334.0,9999.0,9999.0,105.0
Altus Plateau - Shaded Castle,Elemer of the Briar [Boss],Elemer of the Briar,0.0,4897.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,332.0,332.0,543.0,543.0,332.0,9999.0,9999.0,80.0
Altus Plateau - South of Tree Sentinel Duo,Fallingstar Beast [Boss],Fallingstar Beast,0.0,7009.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,35.0,35.0,35.0,35.0,20.0,20.0,20.0,20.0,548.0,548.0,9999.0,9999.0,9999.0,9999.0,9999.0,100.0
"Altus Plateau - Tree Sentinel Duo, Perfumer's Grotto Entrance",Tree Sentinel (Torch) [Boss],Tree Sentinel (Torch),0.0,5384.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,10.0,10.0,35.0,10.0,20.0,40.0,0.0,40.0,334.0,334.0,548.0,548.0,334.0,9999.0,9999.0,80.0
"Altus Plateau - Tree Sentinel Duo, Perfumer's Grotto Entrance",Tree Sentinel [Boss],Tree Sentinel,0.0,6461.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,10.0,10.0,35.0,10.0,20.0,40.0,0.0,40.0,334.0,334.0,548.0,548.0,334.0,9999.0,9999.0,80.0
Altus Plateau - Windmill Heights,Godskin Apostle [Boss],Godskin Apostle,0.0,7528.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,0.0,10.0,-10.0,0.0,20.0,40.0,20.0,40.0,334.0,334.0,243.0,334.0,243.0,9999.0,9999.0,80.0
"Altus Plateau - Woodfolk Ruins, Minor Erdtree",Wormface [Boss],Wormface,0.0,5876.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,40.0,334.0,334.0,334.0,334.0,334.0,9999.0,9999.0,80.0
"Altus Plateau - Wyndham Ruins, Wyndham Catacombs Entrance",Tibia Mariner [Boss],Tibia Mariner,0.0,7911.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,337.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
Altus Tunnel,Crystalian (Ringblade) [Boss],Crystalian (Ringblade),0.0,1892.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,91.0,10.0,93.5,93.5,94.0,94.0,94.0,94.0,539.0,539.0,9999.0,539.0,9999.0,9999.0,9999.0,70.0
Altus Tunnel,Crystalian (Ringblade) [Boss] [Cracked],Crystalian (Ringblade) [Cracked],0.0,1892.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,539.0,539.0,9999.0,539.0,9999.0,9999.0,9999.0,70.0
Altus Tunnel,Crystalian (Spear) [Boss],Crystalian (Spear),0.0,1892.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,91.0,10.0,93.5,93.5,94.0,94.0,94.0,94.0,539.0,539.0,9999.0,539.0,9999.0,9999.0,9999.0,70.0
Altus Tunnel,Crystalian (Spear) [Boss] [Cracked],Crystalian (Spear) [Cracked],0.0,1892.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,539.0,539.0,9999.0,539.0,9999.0,9999.0,9999.0,70.0
Auriza Hero's Grave,Crucible Knight (Tree Spear) [Boss],Crucible Knight (Tree Spear),0.0,5460.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,35.0,35.0,35.0,35.0,40.0,20.0,20.0,40.0,543.0,543.0,9999.0,543.0,543.0,9999.0,9999.0,80.0
Auriza Hero's Grave,Crucible Knight Ordovis [Boss],Crucible Knight Ordovis,0.0,5460.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,35.0,35.0,35.0,35.0,40.0,20.0,20.0,40.0,543.0,543.0,9999.0,543.0,543.0,9999.0,9999.0,80.0
Auriza Side Tomb,Grave Warden Duelist [Boss],Grave Warden Duelist,0.0,6240.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,241.0,241.0,181.0,241.0,241.0,9999.0,9999.0,65.0
Bellum Highway - East Raya Lucaria Gate,Night's Cavalry (Glaive) [Boss],Night's Cavalry (Glaive),0.0,2704.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,329.0,329.0,539.0,539.0,9999.0,9999.0,9999.0,80.0
"Bellum Highway - Frenzied Flame Village, Minor Erdtree",Erdtree Avatar [Boss],Erdtree Avatar,0.0,4690.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,0.0,10.0,10.0,20.0,-40.0,20.0,40.0,329.0,329.0,9999.0,239.0,9999.0,9999.0,9999.0,120.0
Black Knife Catacombs,Black Knife Assassin [Boss],Black Knife Assassin,0.0,3312.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,10.0,10.0,10.0,35.0,20.0,20.0,20.0,40.0,9999.0,9999.0,9999.0,324.0,9999.0,9999.0,9999.0,80.0
Black Knife Catacombs,Cemetery Shade [Boss],Cemetery Shade,0.0,691.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,10.0,10.0,10.0,35.0,0.0,0.0,0.0,-20.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,70.0
"Caelid - Caelem Ruins, Forsaken Ruins, Minor Erdtree, Minor Erdtree Catacombs Entrance",Putrid Avatar [Boss],Putrid Avatar,0.0,5671.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,10.0,0.0,10.0,10.0,20.0,-100.0,20.0,40.0,9999.0,9999.0,9999.0,332.0,9999.0,9999.0,9999.0,120.0
Caelid - Caelid Highway South,Decaying Ekzykes [Boss],Decaying Ekzykes,0.0,23731.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,-40.0,-40.0,-40.0,-10.0,-40.0,-100.0,-40.0,-40.0,1188.0,1188.0,245.0,245.0,9999.0,9999.0,9999.0,120.0
Caelid - Deep Siofra Well; Greyoll's Dragonbarrow - Dragonbarrow West,Mad Pumpkin Head (Hammer) [Boss],Mad Pumpkin Head (Hammer),0.0,2800.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,0.0,10.0,-10.0,0.0,0.0,0.0,-20.0,0.0,237.0,237.0,178.0,178.0,326.0,9999.0,9999.0,65.0
Caelid - Deep Siofra Well; Greyoll's Dragonbarrow - Dragonbarrow West,Mad Pumpkin Head (Hammer) [Boss],Mad Pumpkin Head (Hammer),0.0,2800.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,0.0,10.0,-10.0,0.0,0.0,0.0,-20.0,0.0,237.0,237.0,178.0,178.0,326.0,9999.0,9999.0,65.0
Caelid - East Aeonia Swamp,Commander O'Neil [Boss],Commander O'Neil,0.0,9210.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,10.0,10.0,35.0,0.0,20.0,20.0,20.0,20.0,332.0,9999.0,332.0,332.0,332.0,9999.0,9999.0,90.0
Caelid - Redmane Castle,Crucible Knight (Greatsword) [Boss],Crucible Knight (Greatsword),0.0,4515.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,35.0,35.0,35.0,35.0,40.0,20.0,20.0,40.0,539.0,539.0,9999.0,539.0,539.0,9999.0,9999.0,80.0
Caelid - Redmane Castle,Misbegotten Warrior [Boss],Misbegotten Warrior,0.0,3569.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,10.0,0.0,10.0,20.0,0.0,20.0,20.0,329.0,329.0,329.0,329.0,329.0,9999.0,9999.0,80.0
