Name,Family
Adula's Moonblade,Carian Sword
Adula's Moonblade,Cold
Agheel's Flame,Dragon Communion
Ambush Shard,Glintstone
Ancient Death Rancor,Death
Ancient Dragons' Lightning Spear,Dragon Cult
Ancient Dragons' Lightning Strike,Dragon Cult
Aspects of the Crucible: Bloom,Aspects of the Crucible
Aspects of the Crucible: Breath,Aspects of the Crucible
Aspects of the Crucible: Horns,Aspects of the Crucible
Aspects of the Crucible: Tail,Aspects of the Crucible
Aspects of the Crucible: Thorns,Aspects of the Crucible
Aspects of the Crucible: Thorns,38 - Godfrey Icon
Bayle's Flame Lightning,Dragon Communion
Bayle's Tyranny,Dragon Communion
Bayle's Tyranny,Magma Attack
Beast Claw,Bestial
Bestial Constitution,Bestial
Bestial Sling,Bestial
Bestial Vitality,Bestial
Black Flame,Godslayer
Black Flame Blade,Godslayer
Black Flame Ritual,Godslayer
Black Flame's Protection,Godslayer
Blades of Stone,Gravity
Borealis's Mist,Dragon Communion
Briars of Punishment,Thorn/Aberrant
Briars of Sin,Thorn/Aberrant
"Burn, O Flame!",Giants' Flame
Cannon of Haima,Glintstone
Carian Greatsword,Carian Sword
Carian Phalanx,Glintblade
Carian Piercer,Carian Sword
Carian Retaliation,Glintblade
Carian Slicer,Carian Sword
Cherishing Fingers,Finger
Collapsing Stars,Gravity
Comet,Azur's Sorcery
Comet,Glintstone
Comet Azur,Comet Azur
Crystal Barrage,Glintstone
Crystal Burst,Glintstone
Crystal Release,Crystalian
Crystal Torrent,Crystalian
Death Lightning,Dragon Cult
Discus of Light,Golden Order Fundamentalist
Discus of Light,Golden Ring of Light
Divine Bird Feathers,Divine Bird Feathers
Dragonbolt Blessing,Dragon Cult
Dragonbolt of Florissax,Dragon Cult
Dragonclaw,Dragon Communion
Dragonfire,Dragon Communion
Dragonice,Dragon Communion
Dragonmaw,Dragon Communion
Ekzykes's Decay,Dragon Communion
Electrify Armament,Dragon Cult
Electrocharge,Dragon Cult
Eternal Darkness,Azur's Sorcery
Eternal Darkness,Glintstone
Explosive Ghostflame,Death
Fia's Mist,Death
Fire Serpent,Messmer's Flame
Flame of the Fell God,Giants' Flame
"Flame, Cleanse Me",Giants' Flame
"Flame, Fall Upon Them",Giants' Flame
"Flame, Grant Me Strength",Giants' Flame
"Flame, Protect Me",Giants' Flame
Fleeting Microcosm,Finger
Fortissax's Lightning Spear,Dragon Cult
Founding Rain of Stars,Glintstone
Freezing Mist,Cold
Frenzied Burst,Frenzied Flame
Frozen Armament,Cold
Frozen Lightning Spear,Dragon Cult
Gavel of Haima,Glintstone
Gelmir's Fury,Lava
Gelmir's Fury,Magma Attack
Ghostflame Breath,Dragon Communion
Giant Golden Arc,Spiral
Giantsflame Take Thee,Giants' Flame
Glintblade Phalanx,Glintblade
Glintblade Trio,Glintblade
Glintstone Arc,Glintstone
Glintstone Breath,Dragon Communion
Glintstone Cometshard,Azur's Sorcery
Glintstone Cometshard,Glintstone
Glintstone Icecrag,Cold
Glintstone Nail,Finger
Glintstone Nails,Finger
Glintstone Pebble,Glintstone
Glintstone Stars,Lusat's Sorcery
Glintstone Stars,Glintstone
Golden Arcs,Spiral
Gravitational Missile,Gravity
Gravity Well,Gravity
Great Glintstone Shard,Glintstone
Greatblade Phalanx,Glintblade
Greyoll's Roar,Dragon Communion
Gurranq's Beast Claw,Bestial
Honed Bolt,Dragon Cult
Howl of Shabriri,Frenzied Flame
Immutable Shield,Golden Order Fundamentalist
Impenetrable Thorns,Thorn/Aberrant
Inescapable Frenzy,Frenzied Flame
Knight's Lightning Spear,Dragon Cult
Lansseax's Glaive,Dragon Cult
Law of Causality,Golden Order Fundamentalist
Law of Regression,Golden Order Fundamentalist
Light of Miquella,Miquella's Light
Lightning Spear,Dragon Cult
Lightning Strike,Dragon Cult
Litany of Proper Death,Golden Order Fundamentalist
Loretta's Greatbow,Glintstone
Loretta's Mastery,Glintstone
