y,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,To use this sheet: File > Make a copy,,,,,,,,,"Attack Power Calculator that can do multiple weapon classes & affinities at one time
Also includes automatic Ash of War attack power calculation",,,,,,,,
,,,,Update Available:,,,FALSE,,,,,,,,,,,,,Use Overwrite Values for Ash of War Attack Power Calculation,
,,,,Link to Original:,,,v1.19.1 - last updated 413 days ago,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Relevant Data can be found here,
,,,,,,,,,,,,,,,,,,,,,
,,,,Class,,,,,,,,,,Unarmed Scaling,,,,,,Overwrite Values,
,,,,Weapon,,Unarmed,,,,,,,,Strength,Dexterity,Intelligence,Faith,Arcane,,AttackElementCorrectId,
,,,,Affinity,,Standard,,,,,,,Letter,D,D,-,-,-,,Atk Physical,
,,,,Upgrade,,0.0,,,,,,,Percent,0.5,0.5,0,0,0,,Atk Magic,
,,,,,,,,,,,,,Requirements,-,-,-,-,-,,Atk Fire,
,,,,Strength,,14.0,,,,,,,,,,,,,,Atk Lightning,
,,,,Dexterity,,13.0,,,,,,,,Attribute Saturation,,,,,,Atk Holy,
,,,,Intelligence,,9.0,,,,,,,,Strength,Dexterity,Intelligence,Faith,Arcane,,Base Atk Rate,FALSE
,,,,Faith,,9.0,,,,,,,Physical,0.1811896248,0.1645958186,0,0,0,,,
,,,,Arcane,,7.0,,,,,,,Magic,0,0,0.1011834044,0,0,,SpEffect Scaling Adjustment,
,,,,2h,,FALSE,,,,,,,Fire,0,0,0,0.1011834044,0,,changeStrengthPoint,
,,,,Ignore Require,,FALSE,,,,,,,Lightning,0,0.1645958186,0,0,0,,changeAgilityPoint,
,,,,Status Buff,,None,,,,,,,Holy,0,0,0,0.1011834044,0,,changeMagicPoint,
,,,,,,,,,,,,,Poison,-,-,-,-,0.04285714286,,changeFaithPoint,
,,,,,,,,,,,,,Bleed,-,-,-,-,0.04285714286,,changeLuckPoint,
,,,,,,,,,,,,,Sleep,-,-,-,-,0.07164449132,,,
,,,,,,,,,,,,,Madness,-,-,-,-,0.07164449132,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Scaling Sub Totals,,,,,,,
,,,,,,Base,,,Scaling,Total,Rounded,,,Strength,Dexterity,Intelligence,Faith,Arcane,,,
,,,,Physical AP,,20.0,,,3.457854434,23.45785443,23,,Physical AP,1.812,1.646,0,0,0,,,
,,,,Magic AP,,-   ,,,-   ,-   ,-   ,,Magic AP,-   ,-   ,-   ,-   ,-   ,,,
,,,,Fire AP,,-   ,,,-   ,-   ,-   ,,Fire AP,-   ,-   ,-   ,-   ,-   ,,,
,,,,Lightning AP,,-   ,,,-   ,-   ,-   ,,Lightning AP,-   ,-   ,-   ,-   ,-   ,,,
,,,,Holy AP,,-   ,,,-   ,-   ,-   ,,Holy AP,-   ,-   ,-   ,-   ,-   ,,,
,,,,Physical SB,,-   ,,,-   ,-   ,-   ,,Physical SB,-   ,-   ,-   ,-   ,-   ,,,
,,,,Magic SB,,-   ,,,-   ,-   ,-   ,,Magic SB,-   ,-   ,-   ,-   ,-   ,,,
,,,,Fire SB,,-   ,,,-   ,-   ,-   ,,Fire SB,-   ,-   ,-   ,-   ,-   ,,,
,,,,Lightning SB,,-   ,,,-   ,-   ,-   ,,Lightning SB,-   ,-   ,-   ,-   ,-   ,,,
,,,,Holy SB,,-   ,,,-   ,-   ,-   ,,Holy SB,-   ,-   ,-   ,-   ,-   ,,,
,,,,Poison,,-   ,,,-   ,-   ,-   ,,Poison,-   ,-   ,-   ,-   ,-   ,,,
,,,,Scarlet Rot,,-   ,,,-   ,-   ,-   ,,Scarlet Rot,-   ,-   ,-   ,-   ,-   ,,,
,,,,Bleed,,-   ,,,-   ,-   ,-   ,,Bleed,-   ,-   ,-   ,-   ,-   ,,,
,,,,Frost,,-   ,,,-   ,-   ,-   ,,Frost,-   ,-   ,-   ,-   ,-   ,,,
,,,,Sleep,,-   ,,,-   ,-   ,-   ,,Sleep,-   ,-   ,-   ,-   ,-   ,,,
,,,,Madness,,-   ,,,-   ,-   ,-   ,,Madness,-   ,-   ,-   ,-   ,-   ,,,
,,,,,,,,,Total AR,23.45785443,23,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Guard Damage Negations,,,,,,,,,Guard Resistances,,,,,,,,
,,,,Physical,,Magic,,,Fire,Lightning,Holy,,Poison,Scarlet Rot,Bleed,Frost,Sleep,Madness,,,
,,,,30,,20,,,20,20,20,,10,10,10,10,0,0,,,
,,,,Guard Boost,,,,,,,,,Death,,,,,,,,
,,,,10,,,,,,,,,10,,,,,,,,
