Type,Armor PIece,ID
Head,Commoner's Headband,810000.0
Head,Commoner's Headband (Altered),811000.0
Head,Aristocrat Headband,370000.0
Head,Aristocrat Hat,380000.0
Head,Old Aristocrat Cowl,390000.0
Head,Page Hood,220000.0
Head,High Page Hood,1990000.0
Head,Guardian Mask,330000.0
Head,Festive Hood,800000.0
Head,Festive Hood (Altered),801000.0
Head,Blue Festive Hood,802000.0
Head,Guilty Hood,160000.0
Head,Prisoner Iron Mask,890000.0
Head,Blackguard's Iron Mask,891000.0
Head,Bloodsoaked Mask,964000.0
Head,Caterpillar Mask,5070000.0
Head,Black Dumpling,2020000.0
Head,Mushroom Head,1130000.0
Head,Mushroom Crown,2010000.0
Head,St. Trina's Blossom,5300000.0
Head,Circlet of Light,5272000.0
Head,Astrologer Hood,630000.0
Head,Juvenile Scholar Cap,1030000.0
Head,Karolos Glintstone Crown,833000.0
Head,Olivinus Glintstone Crown,831000.0
Head,Twinsage Glintstone Crown,830000.0
Head,Witch's Glintstone Crown,834000.0
Head,Lazuli Glintstone Crown,832000.0
Head,Haima Glintstone Crown,1000000.0
Head,Hierodas Glintstone Crown,990000.0
Head,Spellblade's Pointed Hat,130000.0
Head,Alberich's Pointed Hat,120000.0
Head,Alberich's Pointed Hat (Altered),121000.0
Head,Preceptor's Big Hat,910000.0
Head,Mask of Confidence,911000.0
Head,Azur's Glintstone Crown,581000.0
Head,Lusat's Glintstone Crown,580000.0
Head,Queen's Crescent Crown,510000.0
Head,Snow Witch Hat,1010000.0
Head,High Priest Hat,5060000.0
Head,Fia's Hood,1940000.0
Head,Prophet Blindfold,620000.0
Head,Traveling Maiden Hood,900000.0
Head,Finger Maiden Fillet,902000.0
Head,Sage Hood,430000.0
Head,Greathood,1600000.0
Head,Dane's Hat,3000000.0
Head,Radiant Gold Mask,1040000.0
Head,Perfumer Hood,90000.0
Head,Traveler's Hat,100000.0
Head,Depraved Perfumer Headscarf,540000.0
Head,Ruler's Mask,961000.0
Head,Consort's Mask,960000.0
Head,Marais Mask,963000.0
Head,Great Horned Headband,300000.0
Head,Shining Horned Headband,301000.0
Head,Godskin Apostle Hood,520000.0
Head,Godskin Noble Hood,530000.0
Head,Sanguine Noble Hood,320000.0
Head,Wise Man's Mask,5110000.0
Head,Crimson Tear Scarab,1910000.0
Head,Cerulean Tear Scarab,1920000.0
Head,Ash-of-War Scarab,1900000.0
Head,Glintstone Scarab,1902000.0
Head,Incantation Scarab,1901000.0
Head,Imp Head (Cat),1080000.0
Head,Imp Head (Wolf),1084000.0
Head,Imp Head (Fanged),1081000.0
Head,Imp Head (Long-Tongued),1082000.0
Head,Imp Head (Corpse),1083000.0
Head,Imp Head (Elder),1085000.0
Head,Imp Head (Lion),5330000.0
Head,Nox Mirrorhelm,1300000.0
Head,Iji's Mirrorhelm,1301000.0
Head,Silver Tear Mask,1090000.0
Head,Envoy Crown,820000.0
Head,Octopus Head,1110000.0
Head,Jar,1120000.0
Head,Greatjar,5320000.0
Head,Albinauric Mask,1060000.0
Head,Black Wolf Mask,170000.0
Head,Blue Cloth Cowl,670000.0
Head,Crimson Hood,740000.0
Head,Navy Hood,741000.0
Head,White Mask,680000.0
Head,Thiollier's Mask,5030000.0
Head,Nomadic Merchant's Chapeau,250000.0
Head,Bandit Mask,1401000.0
Head,Black Hood,1400000.0
Head,Confessor Hood,880000.0
Head,Confessor Hood (Altered),881000.0
Head,Omensmirk Mask,1890000.0
Head,Skeletal Mask,930000.0
Head,Gravebird Helm,5230000.0
Head,Dancer's Hood,5080000.0
Head,Foot Soldier Helm,1860000.0
Head,Foot Soldier Helmet,1840000.0
Head,Foot Soldier Cap,1830000.0
Head,Gilded Foot Soldier Cap,1850000.0
Head,Sacred Crown Helm,1880000.0
Head,Highwayman Hood,1980000.0
Head,Common Soldier Helm,5240000.0
Head,Vulgar Militia Helm,420000.0
Head,Shadow Militiaman Helm,5280000.0
Head,Duelist Helm,310000.0
Head,Rotten Duelist Helm,2000000.0
Head,Nox Monk Hood,290000.0
Head,Nox Monk Hood (Altered),291000.0
Head,Nox Swordstress Crown,292000.0
Head,Nox Swordstress Crown (Altered),294000.0
Head,Night Maiden Twin Crown,293000.0
Head,Champion Headband,730000.0
Head,Leather Headband,5190000.0
Head,Leather Crown,5191000.0
Head,Fang Helm,5021000.0
Head,Igon's Helm,5100000.0
Head,Igon's Helm (Altered),5101000.0
Head,Curseblade Mask,5210000.0
Head,Pelt of Ralva,5020000.0
Head,Chain Coif,1100000.0
Head,Iron Helmet,40000.0
Head,Godrick Soldier Helm,1700000.0
Head,Raya Lucarian Helm,1710000.0
Head,Radahn Soldier Helm,1730000.0
Head,Leyndell Soldier Helm,1720000.0
Head,Haligtree Helm,1750000.0
Head,Messmer Soldier Helm,5140000.0
Head,Exile Hood,190000.0
Head,Kaiden Helm,50000.0
Head,Land of Reeds Helm,870000.0
Head,Okina Mask,872000.0
Head,Iron Kasa,150000.0
Head,Eccentric's Hood,940000.0
Head,Eccentric's Hood (Altered),941000.0
Head,Freyja's Helm,5120000.0
Head,Marionette Soldier Helm,840000.0
Head,Marionette Soldier Birdhelm,850000.0
Head,Blue Silver Mail Hood,240000.0
Head,Fire Monk Hood,350000.0
Head,Blackflame Monk Hood,351000.0
Head,Zamor Mask,1070000.0
Head,Black Knife Hood,180000.0
Head,Helm of Night,5090000.0
Head,Malenia's Winged Helm,770000.0
Head,Elden Lord Crown,460000.0
Head,Messmer's Helm,5220000.0
Head,Messmer's Helm (Altered),5221000.0
Head,Knight Helm,1500000.0
Head,Vagabond Knight Helm,660000.0
Head,Greathelm,1101000.0
Head,Carian Knight Helm,980000.0
Head,Godrick Knight Helm,1770000.0
Head,Cuckoo Knight Helm,1780000.0
Head,Redmane Knight Helm,1800000.0
Head,Gelmir Knight Helm,1760000.0
Head,Leyndell Knight Helm,1790000.0
Head,Haligtree Knight Helm,1820000.0
Head,Black Knight Helm,5150000.0
Head,Bloodhound Knight Helm,790000.0
Head,Cleanrot Helm,340000.0
Head,Cleanrot Helm (Altered),341000.0
Head,Fire Knight Helm,5180000.0
Head,Winged Serpent Helm,5183000.0
Head,Death Mask Helm,5182000.0
Head,Salza's Hood,5184000.0
Head,Death Knight Helm,5200000.0
Head,Horned Warrior Helm,5250000.0
Head,Divine Beast Helm,5252000.0
Head,Divine Bird Helm,5253000.0
Head,Oathseeker Knight Helm,5000000.0
Head,Raging Wolf Helm,860000.0
Head,Hoslow's Helm,650000.0
Head,Diallos's Mask,651000.0
Head,Twinned Helm,600000.0
Head,Drake Knight Helm,60000.0
Head,Drake Knight Helm (Altered),61000.0
Head,Briar Helm,210000.0
Head,Fingerprint Helm,950000.0
Head,Rakshasa Helm,5160000.0
Head,Royal Remains Helm,690000.0
Head,All-Knowing Helm,590000.0
Head,Royal Knight Helm,280000.0
Head,Rellana's Helm,5260000.0
Head,Maliketh's Helm,760000.0
Head,Banished Knight Helm,200000.0
Head,Banished Knight Helm (Altered),201000.0
Head,Night's Cavalry Helm,230000.0
Head,Night's Cavalry Helm (Altered),231000.0
Head,Helm of Solitude,5130000.0
Head,Veteran's Helm,780000.0
Head,Scaled Helm,80000.0
Head,Beast Champion Helm,720000.0
Head,Tree Sentinel Helm,270000.0
Head,Malformed Dragon Helm,260000.0
Head,Crucible Axe Helm,570000.0
Head,Crucible Tree Helm,571000.0
Head,Crucible Hammer-Helm,5310000.0
Head,Gaius's Helm,3010000.0
Head,Radahn's Redmane Helm,470000.0
Head,Young Lion's Helm,5270000.0
Head,Lionel's Helm,640000.0
Head,Bull-Goat Helm,140000.0
Head,Verdigris Helm,5010000.0
Head,Omen Helm,970000.0
Head,Fire Prelate Helm,360000.0
Head,Pumpkin Helm,440000.0
Head,Divine Beast Head,5290000.0
Body,Cloth Garb,160100.0
Body,Traveler's Clothes,1020100.0
