,,,Type,Planner,ID,,,,,Type,ID,Translation,Affinity,Upgrade,Class,,Starting Class,ID,,Armor,ID,,Talisman,ID,,Great Rune,ID,,Crystal Tear,ID,,Weapon Class,Weapon,ID,isReinforce,isUnique,,Affinity,ID,,Magic,ID
Build Name,,,Starting Class,Vagabond,A,,Planner Selection Build ID,0xA-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0xA-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0,,Starting Class,10,Vagabond,,,,,Vagabond,10.0,,Empty,0.0,,Empty,0.0,,Empty,0.0,,Empty,0.0,,Dagger,Dagger,1000000.0,TRUE,FALSE,,Standard,0.0,,Empty,0.0
Build ID,A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1ADB0-1ADB0-1ADB0-1ADB0-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,,Vigor,,0,,,,,Vigor,0,,,,,,Warrior,20.0,,Commoner's Headband,810000.0,,Crimson Amber Medallion,1000.0,,Godrick's Great Rune,191.0,,Crimson Crystal Tear 1,11002.0,,Dagger,Parrying Dagger,1020000.0,TRUE,FALSE,,Heavy,100.0,,Glintstone Pebble,4000.0
Filter,,,Mind,,0,,Default Build ID,0xA-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0xA-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0,,Mind,0,,,,,,Hero,30.0,,Commoner's Headband (Altered),811000.0,,Crimson Amber Medallion +1,1001.0,,Rykard's Great Rune,194.0,,Crimson Crystal Tear 2,11003.0,,Dagger,Miséricorde,1030000.0,TRUE,FALSE,,Keen,200.0,,Swift Glintstone Shard,4010.0
Edit Flag,FALSE,,Endurance,,0,,,,,Endurance,0,,,,,,Bandit,40.0,,Aristocrat Headband,370000.0,,Crimson Amber Medallion +2,1002.0,,Radahn's Great Rune,192.0,,Crimsonspill Crystal Tear,11000.0,,Dagger,Great Knife,1090000.0,TRUE,FALSE,,Quality,300.0,,Great Glintstone Shard,4001.0
Selected Row,none,,Strength,,0,,Dropdown Selected Build ID,0xA-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0xA-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0,,Strength,0,,,,,,Astrologer,50.0,,Aristocrat Hat,380000.0,,Crimson Amber Medallion +3,7000.0,,Morgott's Great Rune,193.0,,Crimsonburst Crystal Tear,11009.0,,Dagger,Bloodstained Dagger,1140000.0,TRUE,FALSE,,Fire,400.0,,Glintstone Cometshard,4020.0
Script Used Flag,FALSE,,Dexterity,,0,,,,,Dexterity,0,,,,,,Prophet,60.0,,Old Aristocrat Cowl,390000.0,,Crimson Seed Talisman,5000.0,,Mohg's Great Rune,195.0,,Crimsonburst Dried Tear,2011010.0,,Dagger,Erdsteel Dagger,1150000.0,TRUE,FALSE,,Flame Art,500.0,,Glintstone Cometshard,4020.0
,,,Intelligence,,0,,,,,Intelligence,0,,,,,,Samurai,70.0,,Page Hood,220000.0,,Crimson Seed Talisman +1,7140.0,,Malenia's Great Rune,196.0,,Cerulean Crystal Tear 1,11004.0,,Dagger,Fire Knight's Shortsword,1510000.0,TRUE,FALSE,,Lightning,600.0,,Comet,4021.0
Disable Class Load,TRUE,,Faith,,0,,,,,Faith,0,,,,,,Prisoner,80.0,,High Page Hood,1990000.0,,Blessed Dew Talisman,5020.0,,,,,Cerulean Crystal Tear 2,11005.0,,Dagger,Wakizashi,1100000.0,TRUE,FALSE,,Sacred,700.0,,Comet,4021.0
,,,Arcane,,0,,,,,Arcane,0,,,,,,Confessor,90.0,,Guardian Mask,330000.0,,Cerulean Amber Medallion,1010.0,,Godrick's Great Rune,10.0,,Greenspill Crystal Tear,11001.0,,Dagger,Main-gauche,1500000.0,TRUE,FALSE,,Magic,800.0,,Comet,4021.0
,,,Head,Empty,0,,,,,Head,0,Empty,,,,,Wretch,100.0,,Festive Hood,800000.0,,Cerulean Amber Medallion +1,1011.0,,Rykard's Great Rune,20.0,,Greenburst Crystal Tear,11010.0,,Dagger,Celebrant's Sickle,1060000.0,TRUE,FALSE,,Cold,900.0,,Shard Spiral,4030.0
