Name,AtkID,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseDark
Fire Pot,10030001.0,0.0,0.0,230.0,0.0,0.0
Redmane Fire Pot,10030101.0,0.0,0.0,326.0,0.0,0.0
Giantsflame Fire Pot,10030201.0,0.0,0.0,344.0,0.0,0.0
Hefty Fire Pot,210030001.0,0.0,0.0,360.0,0.0,0.0
Hefty Furnace Pot,210068000.0,0.0,0.0,370.0,0.0,0.0
Oil Pot,10038001.0,0.0,0.0,0.0,0.0,0.0
Hefty Oil Pot,210038000.0,105.0,0.0,0.0,0.0,0.0
Magic Pot,10066001.0,0.0,322.0,0.0,0.0,0.0
Academy Magic Pot,10066101.0,0.0,405.0,0.0,0.0,0.0
Hefty Magic Pot,210066000.0,0.0,360.0,0.0,0.0,0.0
Lightning Pot,10032000.0,0.0,0.0,0.0,260.0,0.0
Ancient Dragonbolt Pot,10032100.0,0.0,0.0,0.0,340.0,0.0
Hefty Lightning Pot,210032000.0,0.0,0.0,0.0,370.0,0.0
Red Lightning Pot,210070002.0,0.0,0.0,0.0,260.0,0.0
Hefty Red Lightning Pot,210069002.0,0.0,0.0,0.0,310.0,0.0
Holy Water Pot,10035001.0,0.0,0.0,0.0,0.0,167.0
Sacred Order Pot,10035101.0,0.0,0.0,0.0,0.0,312.0
Poison Pot,10037001.0,0.0,0.0,0.0,0.0,0.0
Hefty Poison Pot,210037000.0,105.0,0.0,0.0,0.0,0.0
Fetid Pot,10033001.0,0.0,0.0,0.0,0.0,0.0
Hefty Fetid Pot,210033000.0,105.0,0.0,0.0,0.0,0.0
Rot Pot,10067001.0,0.0,0.0,0.0,0.0,0.0
Hefty Rot Pot,210067000.0,105.0,0.0,0.0,0.0,0.0
Swarm Pot,10034001.0,116.0,0.0,0.0,0.0,0.0
Hefty Fly Pot,210034000.0,105.0,0.0,0.0,0.0,0.0
Freezing Pot,10036001.0,0.0,119.0,0.0,0.0,0.0
Hefty Freezing Pot,210036001.0,0.0,200.0,0.0,0.0,0.0
Sleep Pot,10064000.0,1.0,0.0,0.0,0.0,0.0
Eternal Sleep Pot,210074000.0,1.0,0.0,0.0,0.0,0.0
Frenzied Flame Pot,210071000.0,0.0,0.0,240.0,0.0,0.0
Hefty Frenzied Flame Pot,210062000.0,0.0,0.0,326.0,0.0,0.0
Hefty Rock Pot,210031001.0,370.0,0.0,0.0,0.0,0.0
Volcano Pot,10060001.0,0.0,0.0,82.0,0.0,0.0
Hefty Volcano Pot,210060000.0,0.0,0.0,105.0,0.0,0.0
Rancor Pot,10065001.0,0.0,139.0,0.0,0.0,0.0
Hefty Rancor Pot,210065001.0,0.0,139.0,0.0,0.0,0.0
Cursed-Blood Pot,10063001.0,0.0,0.0,0.0,0.0,0.0
Alluring Pot,10039001.0,0.0,0.0,0.0,0.0,0.0
Beastlure Pot,10039100.0,1.0,0.0,0.0,0.0,0.0
Albinauric Pot,10061001.0,0.0,0.0,0.0,0.0,0.0
Roped Fire Pot,10040001.0,0.0,0.0,230.0,0.0,0.0
Roped Oil Pot,10045001.0,1.0,0.0,0.0,0.0,0.0
Roped Magic Pot,10046001.0,0.0,322.0,0.0,0.0,0.0
Roped Lightning Pot,10042000.0,0.0,0.0,0.0,260.0,0.0
Roped Holy Water Pot,10051001.0,0.0,0.0,0.0,0.0,150.0
Roped Poison Pot,10044001.0,1.0,0.0,0.0,0.0,0.0
Roped Fetid Pot,10043001.0,1.0,0.0,0.0,0.0,0.0
Roped Fly Pot,10047001.0,116.0,0.0,0.0,0.0,0.0
Roped Frenzied Flame Pot,210071000.0,0.0,0.0,240.0,0.0,0.0
Roped Volcano Pot,10049001.0,0.0,0.0,82.0,0.0,0.0
Spark Aromatic,10351000.0,0.0,0.0,352.0,0.0,0.0
Uplifting Aromatic,10350000.0,0.0,0.0,0.0,0.0,0.0
Poison Spraymist,10358000.0,0.0,0.0,0.0,0.0,0.0
Acid Spraymist,10361000.0,0.0,0.0,0.0,0.0,0.0
Bloodboil Aromatic,10355000.0,0.0,0.0,0.0,0.0,0.0
Ironjar Aromatic,10352000.0,0.0,0.0,0.0,0.0,0.0
Bone Dart,10171000.0,57.0,0.0,0.0,0.0,0.0
Poisonbone Dart,10172000.0,50.0,0.0,0.0,0.0,0.0
Crystal Dart,10174000.0,66.0,44.0,0.0,0.0,0.0
Throwing Dagger,10170000.0,67.0,0.0,0.0,0.0,0.0
Kukri,10173000.0,87.0,0.0,0.0,0.0,0.0
Fan Daggers,10175000.0,37.0,0.0,0.0,0.0,0.0
Dragon Communion Harpoon,210171000.0,330.0,0.0,0.0,0.0,0.0
Ruin Fragment,10176000.0,1.0,0.0,0.0,0.0,0.0
Roundrock,210172000.0,200.0,0.0,0.0,0.0,0.0
Poisoned Stone,10184000.0,50.0,0.0,0.0,0.0,0.0
