Crystal Tear,ID
Crimson Crystal Tear 1,11002.0
Crimson Crystal Tear 2,11003.0
Crimsonspill Crystal Tear,11000.0
Crimsonburst Crystal Tear,11009.0
Crimsonburst Dried Tear,2011010.0
Cerulean Crystal Tear 1,11004.0
Cerulean Crystal Tear 2,11005.0
Greenspill Crystal Tear,11001.0
Greenburst Crystal Tear,11010.0
Strength-knot Crystal Tear,11021.0
Dexterity-knot Crystal Tear,11022.0
Intelligence-knot Crystal Tear,11023.0
Faith-knot Crystal Tear,11024.0
Opaline Hardtear,11011.0
Speckled Hardtear,11006.0
Leaden Hardtear,11018.0
Deflecting Hardtear,2011070.0
Magic-Shrouding Cracked Tear,11029.0
Flame-Shrouding Cracked Tear,11028.0
Lightning-Shrouding Cracked Tear,11030.0
Holy-Shrouding Cracked Tear,11031.0
Stonebarb Cracked Tear,11026.0
Spiked Cracked Tear,11014.0
Thorny Cracked Tear,11013.0
Crimson-Sapping Cracked Tear,2011020.0
Cerulean-Sapping Cracked Tear,2011030.0
Bloodsucking Cracked Tear,2011050.0
Twiggy Cracked Tear,11019.0
Winged Crystal Tear,11012.0
Windy Crystal Tear,11015.0
Glovewort Crystal Tear,2011060.0
Crimson Bubbletear,11007.0
Crimsonwhorl Bubbletear,11020.0
Opaline Bubbletear,11008.0
Cerulean Hidden Tear,11025.0
Viridian Hidden Tear,2011000.0
Purifying Crystal Tear,11027.0
Ruptured Crystal Tear 1,11016.0
Ruptured Crystal Tear 2,11017.0
Oil-Soaked Tear,2011040.0
