,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,To use this sheet: File > Make a copy,,,,,,,,,,Planner Selection Display,,,2H: FALSE,Physical AP,,Magic AP,,Fire AP,Lightning AP,,Holy AP,Spell Buff
,,,,Update Available:,,FALSE,,,,,,,,RH 1: Unarmed,,,,23.458,,-,,-,-,,-,-
,,,,Link to Original:,,v1.19.1 - last updated 413 days ago,,,,,,,,RH 2: Unarmed,,,,23.458,,-,,-,-,,-,-
,,,,,,,,,,,,,,RH 3: Unarmed,,,,23.458,,-,,-,-,,-,-
,,,,,,,,,,,,,,LH 1: Unarmed,,,,23.458,,-,,-,-,,-,-
,,,,Thanks to Sir Halvard for the design and original damage formula.,,,,,,,,,,LH 2: Unarmed,,,,23.458,,-,,-,-,,-,-
,,,,Thanks to Nymic_Razor for updated damage formula.,,,,,,,,,,LH 3: Unarmed,,,,23.458,,-,,-,-,,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Fill in the area in the green space; you don't need to fill in everything, just the relevant information.",,,,,,,,,,,,,,,,,,,,,,
,,,,MV = Motion Value. This is a link to a sheet with the values listed.,,,,,,,,,,,,,,,,,,,,,,
,,,,Motion Value is applied to all damage types unless specified; AP added by weapon buffs has a separate motion value.,,,,,,,,,,,,,Here are some basic calculators for your convenience.,,,,,,,,,
,,,,If calculating spell damage you use the Sorcery/Incant Scaling as the AP; if using AP from Planner page just use 100 as the MV.,,,,,,,,,,,,,This link has various damage multipliers and damage negation modifiers on it.,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Defense,,,Dmg Negation,AP,MV,,Damage Dealt,Total Damage Negation [%],,,Damage Multipliers,,Combined Multiplier Calc,,,,,Combined Damage Negation Calc,,
,,,,Physical,,79.0,,,0.0,,,,0,0,,,1.0,,Multiplier 1,,1.04,,,Dmg Negation 1,,35.588
,,,,Strike,,79.0,,,0.0,,,,0,0,,,1.0,,Multiplier 2,,1.08,,,Dmg Negation 2,,15.0
,,,,Slash,,79.0,,,0.0,,,,0,0,,,1.0,,Multiplier 3,,,,,Dmg Negation 3,,
,,,,Pierce,,79.0,,,0.0,,,,0,0,,,1.0,,Multiplier 4,,,,,Dmg Negation 4,,
,,,,Magic,,93.0,,,0.0,,,,0,0,,,1.0,,Multiplier 5,,,,,Dmg Negation 5,,
,,,,Fire,,85.0,,,0.0,,,,0,0,,,1.0,,Multiplier 6,,,,,Dmg Negation 6,,
