,Upload builds with this link,Grab the Build ID for a build you want to upload from the Builds page,,
,Alias Filter,Level Filter,Name Filter,
,,,,
Date,Creator Alias,Build Level,Build Name,Build ID
2022-10-23 00:00:00,FunkMachine,40,"2 worst katanas, rl40",A-23-D-B-F-14-0-0-0-249F0-3A9E4-3AA48-24B1C-41B-4E2-1784-47E-0-8A65B3-FB907-1ADB0-8A8CC7-1C9C6A7-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0
2022-11-05 00:00:00,Amulya,137,70 Dex LIGHT ROLL Glass Cannon 137,A-3C-0-1F-14-46-0-0-0-113E10-E3134-A8818-113F3C-412-408-884-4E2-0-220961-1ADB0-1ADB0-220961-1ADB0-1ADB0-A-1AB8-193C-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0
2022-05-04 00:00:00,Hv,125,93 Poise Memeveil Dragonbolt,46-3C-13-13-C-12-34-10-0-108A60-BE744-105478-BE80C-442-4BA-408-412-0-8A3EAA-2082C1A-1ADB0-1FB0CBA-1ADB0-1ADB0-A-1B3B-FAA-1162-FB5-1158-0-0-0-0-0-0-0-0-0-0-0-0
2023-04-18 00:00:00,chronofreak,150,Bloody Helice Dodge Spam,1E-28-24-32-10-14-1-F-2D-222E0-22344-57F08-2240C-47E-3FE-412-4CF-A-5B8D8A-1ADB0-1ADB0-208050A-1DB28B9-1ADB0-A-1AB8-17A2-1A9A-1AA4-1C2A-1C20-1B6C-1B76-1932-1798-0-0-0-1-0-0-0-2B02-2AF9-0
2022-12-26 00:00:00,Zanogre,200,Cringe lvl 200 Quality,A-46-F-14-35-50-0-19-0-16E360-9CA4-13948-2240C-3EA-412-80C-4BA-0-308725-1ADB0-1ADB0-2082C1A-1C9C399-1ADB0-A-19C8-18BA-1AB8-1A90-1EDF-1770-1798-1917-0-0-0-0-0-1-0-0-0
2023-04-18 00:00:00,chronofreak,150,Crucible Knight,A-3C-10-29-35-D-0-1E-0-8B678-8B6DC-8B358-8B3BC-FA3-C12-4CF-408-1E-2EB12A-103B46A-1ADB0-1E8BD3A-20768D9-1ADB0-A-1AB8-1D56-1D4C-1D60-1A9A-1AA4-1AAE-19C8-17A2-18BA-0-0-0-0-0-0-0-2B03-2B12-0
2023-05-18 00:00:00,chronofreak,150,Crucible Knight (Erdtree Greatshield optional),A-3C-10-2A-34-D-0-1E-0-8B290-8B2F4-8B358-8B3BC-FA3-C12-4CF-408-1E-2EB12A-103B46A-1ADB0-1E8BD3A-20768D9-1ADB0-A-1AB8-1D56-1D4C-1D60-1A9A-1AA4-1AAE-19C8-17A2-18BA-0-0-1-0-0-0-0-2B03-2B12-0
2022-05-03 00:00:00,Cryptid Tracker,125,Dark Moon Greatsword (Bull-Goat),A-3C-0-26-10-E-32-0-0-222E0-22344-223A8-2240C-0-4BA-408-412-0-2F265A-1ADB0-1ADB0-1ADB0-1ADB0-1ADB0-A-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
2022-06-15 00:00:00,Leon,150,Death Poker/Carian Grandeur/Frost Mage Build ,32-2C-19-A-14-36-3C-7-9-F6950-1FC34-1FC98-1FCFC-1784-4CF-FA3-FD4-0-1ED5D9-30D40A-1ADB0-1FA9799-1ADB0-1ADB0-A-111D-FAA-FB5-1022-1018-10CD-114F-0-0-0-0-0-0-0-0-0-0
