,,,,,,,,,397.5,963,,reinforce,lowerRange,upperRange
,host level,125.0,,summonDataCoopMatchingWepLevelMul,10.0,,,CalcCorrectGraph,host_max,summon_min,,0.0,0.0,3.0
,host weapon level,25.0,,machingLevelWhiteSignUpperRel,10.0,,Multiplayer Correction - HP,300.0,2.314637904,2.488906009,,1.0,0.0,4.0
,,,,machingLevelWhiteSignUpperAbs,10.0,,Multiplayer Correction - FP,301.0,1.304892142,1.958397535,,2.0,0.0,5.0
,phantom level,713.0,,machingLevelRedSignUpperRel,10.0,,Multiplayer Correction - Stamina,302.0,1.260978428,1.391679507,,3.0,0.0,6.0
,phantom weapon level,25.0,,machingLevelRedSignUpperAbs,10.0,,Multiplayer Correction - Defense,303.0,171.2211094,245.2850539,,4.0,1.0,7.0
,,,,summonDataCoopMatchingSpiritAshLevelMul,25.0,,Multiplayer Correction - Resistance,304.0,203.6594761,247.2265023,,5.0,2.0,8.0
,host_maxScore,397.5,,,,,Multiplayer Correction - Regular Weapons Damage,310.0,5,5,,6.0,3.0,10.0
,summon_minScore,963,,,,,Multiplayer Correction - Daggers/Throwing Blades Damage,320.0,6,6,,7.0,4.0,11.0
,,,,,,,Multiplayer Correction - Colossal Weapons/Greatshields Damage,330.0,5,5,,8.0,5.0,12.0
,hostLevel_upperRange,147,,,,,Multiplayer Correction - Bows/Bolts/Arrows Damage,340.0,3.5,3.5,,9.0,6.0,13.0
,hostWeapon_upperRange,25,,,,,Multiplayer Correction - Greatbows/Ballistas Damage,341.0,5,5,,10.0,6.0,14.0
,outsideLevelRange,TRUE,,,,,Multiplayer Correction - Crossbows Damage,342.0,2.6,2.6,,11.0,7.0,15.0
,outsideWeaponRange,FALSE,,,,,Multiplayer Correction - Staves Damage,350.0,3,3,,12.0,8.0,17.0
,,,,,,,Multiplayer Correction - Seals Damage,351.0,3,3,,13.0,9.0,18.0
,HP Multiplier,0.9299820467,,,,,Multiplayer Correction - Throwing Items Damage,400.0,3.5,3.5,,14.0,10.0,19.0
,FP Multiplier,0.6663060582,,,,,Multiplayer Correction - Consumable Items Damage,401.0,2.5,2.5,,15.0,11.0,20.0
,Stamina Multiplier,0.9060839238,,,,,,,,,,16.0,12.0,21.0
,Defense Multiplier,0.6980495006,,,,,,,,,,17.0,12.0,22.0
,Resistance Multiplier,0.8237768775,,,,,,,,,,18.0,13.0,24.0
,General Dmg Mult,1,,,,,,,,,,19.0,14.0,25.0
,Dagger/Throwing Blade Dmg Mult,1,,,,,,,,,,20.0,15.0,25.0
,Colossal/Greatshield Dmg Mult,1,,,,,,,,,,21.0,16.0,25.0
,Bow/Arrow/Bolt Dmg Mult,1,,,,,,,,,,22.0,17.0,25.0
,Greatbow/Ballista Dmg Mult,1,,,,,,,,,,23.0,18.0,25.0
,Crossbow Dmg Mult,1,,,,,,,,,,24.0,18.0,25.0
,Staff Dmg Mult,1,,,,,,,,,,25.0,19.0,25.0
,Seal Dmg Mult,1,,,,,,,,,,,,
,Throwing Item Dmg Mult,1,,,,,,,,,,,,
,Consumable Item Dmg Mult,1,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Colossal Exclusions,,,,,,,,,,,,,
,Bloodfiend's Arm,,,,,,,,,,,,,
,Anvil Hammer,,,,,,,,,,,,,
