Build Select,,Starting Class,,Head,Body,Arms,Legs,,Talismans,,,,,,,Great Rune,,Crystal Tear 1,Crystal Tear 2,,Weapon Class,,,,,,,,,Upgrade Levels,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,weapons,canCast,Catalyst Select,,Spell 1,Spell 2,Spell 3,Spell 4,Spell 5,Spell 6,Spell 7,Spell 8,Spell 9,Spell 10,Spell 11,Spell 12,,Defaults,,
None,,Vagabond,,Empty,Empty,Empty,Empty,,Crimson Amber Medallion,1000,Empty,Empty,Empty,Empty,,Empty,,Empty,Empty,,Dagger,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,0.0,0,0,0,0,0,0,,Standard,Standard,Standard,Standard,Standard,Standard,,Unarmed,FALSE,No Catalyst Equipped,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,,Build Select,None,
,,Warrior,,Commoner's Headband,Cloth Garb,Traveler's Manchettes,Cloth Trousers,,Crimson Amber Medallion +1,1000.0,Crimson Amber Medallion,Crimson Amber Medallion,Crimson Amber Medallion,Crimson Amber Medallion,,Godrick's Great Rune,,Crimson Crystal Tear 1,Crimson Crystal Tear 1,,Throwing Blade,,,,,,,,,1.0,,,,,,,,,,,,,,,Unarmed,FALSE,,,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,Glintstone Pebble,,Name Build,,
,,Hero,,Commoner's Headband (Altered),Traveler's Clothes,Guardian Bracers,Traveler's Boots,,Crimson Amber Medallion +2,1000.0,Crimson Amber Medallion +1,Crimson Amber Medallion +1,Crimson Amber Medallion +1,Crimson Amber Medallion +1,,Rykard's Great Rune,,Crimson Crystal Tear 2,Crimson Crystal Tear 2,,Straight Sword,,,,,,,,,2.0,,,,,,,,,,,,,,,Unarmed,FALSE,,,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,Swift Glintstone Shard,,,,
[Default] General Use - Strength RL125 (GJA),,Bandit,,Aristocrat Headband,Commoner's Simple Garb,Bloodsoaked Manchettes,Commoner's Shoes,,Crimson Amber Medallion +3,1000.0,Crimson Amber Medallion +2,Crimson Amber Medallion +2,Crimson Amber Medallion +2,Crimson Amber Medallion +2,,Radahn's Great Rune,,Crimsonspill Crystal Tear,Crimsonspill Crystal Tear,,Light Greatsword,,,,,,,,,3.0,,,,,,,,,,,,,,,Unarmed,FALSE,,,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,Great Glintstone Shard,,Starting Class,Vagabond,Vagabond
[Default] General Use - Strength RL125 (BGT),,Astrologer,,Aristocrat Hat,Commoner's Simple Garb (Altered),Braided Arm Wraps,Aristocrat Boots,,Crimson Seed Talisman,5000.0,Crimson Amber Medallion +3,Crimson Amber Medallion +3,Crimson Amber Medallion +3,Crimson Amber Medallion +3,,Morgott's Great Rune,,Crimsonburst Crystal Tear,Crimsonburst Crystal Tear,,Greatsword,,,,,,,,,4.0,,,,,,,,,,,,,,,Unarmed,FALSE,,,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,,Vigor,,
[Default] General Use - Dexterity RL125 (GJA),,Prophet,,Old Aristocrat Cowl,Commoner's Garb,Mushroom Arms,Old Aristocrat Shoes,,Crimson Seed Talisman +1,5000.0,Crimson Seed Talisman,Crimson Seed Talisman,Crimson Seed Talisman,Crimson Seed Talisman,,Mohg's Great Rune,,Crimsonburst Dried Tear,Crimsonburst Dried Tear,,Colossal Sword,,,,,,,,,5.0,,,,,,,,,,,,,,,Unarmed,FALSE,,,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,Glintstone Cometshard,,Mind,,
[Default] General Use - Dexterity RL125 (BGT),,Samurai,,Page Hood,Commoner's Garb (Altered),Astrologer Gloves,Page Trousers,,Blessed Dew Talisman,5020.0,Crimson Seed Talisman +1,Crimson Seed Talisman +1,Crimson Seed Talisman +1,Crimson Seed Talisman +1,,Malenia's Great Rune,,Cerulean Crystal Tear 1,Cerulean Crystal Tear 1,,Thrusting Sword,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,,Endurance,,
[Default] General Use - Arcane RL125 (GJA),,Prisoner,,High Page Hood,Aristocrat Garb,Sorcerer Manchettes,Guardian Greaves,,Cerulean Amber Medallion,1010.0,Blessed Dew Talisman,Blessed Dew Talisman,Blessed Dew Talisman,Blessed Dew Talisman,,,,Cerulean Crystal Tear 2,Cerulean Crystal Tear 2,,Heavy Thrusting Sword,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,,Strength,,
[Default] General Use - Arcane RL125 (BGT),,Confessor,,Guardian Mask,Aristocrat Garb (Altered),Battlemage Manchettes,Prisoner Trousers,,Cerulean Amber Medallion +1,1010.0,Cerulean Amber Medallion,Cerulean Amber Medallion,Cerulean Amber Medallion,Cerulean Amber Medallion,,Godrick's Great Rune,,Greenspill Crystal Tear,Greenspill Crystal Tear,,Curved Sword,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,Comet,,Dexterity,,
[Default] General Use Caster - Sorcery RL125,,Wretch,,Festive Hood,Aristocrat Coat,Errant Sorcerer Manchettes,Soiled Loincloth,,Cerulean Amber Medallion +2,1010.0,Cerulean Amber Medallion +1,Cerulean Amber Medallion +1,Cerulean Amber Medallion +1,Cerulean Amber Medallion +1,,Rykard's Great Rune,,Greenburst Crystal Tear,Greenburst Crystal Tear,,Curved Greatsword,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,Shard Spiral,,Intelligence,,
