,,,Slot,Weapon,Name,SB,IntSB,FthSB,PhysSB,MagSB,FireSB,ThunSB,HolySB,FP Modifier,Stamina Modifier,enableMagic,enableMiracle,correctArcFinal,PoisonArc,BleedArc,SleepArc,MadnessArc,,Spell Slot,Sorcery/Incant,Selected Spells,slotLength,mp,mp_charge,stamina,stamina_charge,requirementIntellect,requirementFaith,requirementLuck,Duration,isExtendSpEffectLife,Unique Spells,,Spell Slot,Spell,Phys Atk,Magic Atk,Fire Atk,Ltng Atk,Holy Atk,Heal Add,Only Uses Int,Only Uses Faith,No Scale,statusSpEffectId1,statusSpEffectId2,statusSpEffectId1Scale,statusSpEffectId2Scale,Effect,spellCategory,atkCategory,,Can Cast,Phys AR,Magic AR,Fire AR,Lightning AR,Holy AR,,Heal Amount,,poizonAttackPower,diseaseAttackPower,bloodAttackPower,bloodAttackPower2,freezeAttackPower,sleepAttackPower,madnessAttackPower,curseAttackPower,,Spell,Phys AR,Magic AR,Fire AR,Lightning AR,Holy AR,Split AR,Total AR,Heal,poizonAttackPower,diseaseAttackPower,bloodAttackPower,bloodAttackPower2,freezeAttackPower,sleepAttackPower,madnessAttackPower,curseAttackPower,Status Buildup,Status Type,Status Display,Effect Display,spellCategory Display,atkCategory Display
Memory Slots,10,,RH1,Unarmed,Unarmed,0,0,0,117.2892722,100,100,108.2297909,100,1,1,FALSE,FALSE,0,4.285714286,4.285714286,7.164449132,7.164449132,,Spell 1,,Empty,,,,,,,,,,,,,Spell 1,Empty,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No Valid Spell/Catalyst,,,,,,,,,,,,,,,,,,,,,,
Moon of Nokstella,FALSE,,RH2,Unarmed,Unarmed,0,0,0,117.2892722,100,100,108.2297909,100,1,1,FALSE,FALSE,0,4.285714286,4.285714286,7.164449132,7.164449132,,Spell 2,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Glintstone Blade,FALSE,,RH3,Unarmed,Unarmed,0,0,0,117.2892722,100,100,108.2297909,100,1,1,FALSE,FALSE,0,4.285714286,4.285714286,7.164449132,7.164449132,,Spell 3,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Lord's Talisman,FALSE,,LH1,Unarmed,Unarmed,0,0,0,117.2892722,100,100,108.2297909,100,1,1,FALSE,FALSE,0,4.285714286,4.285714286,7.164449132,7.164449132,,Spell 4,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Slot,Empty,,LH2,Unarmed,Unarmed,0,0,0,117.2892722,100,100,108.2297909,100,1,1,FALSE,FALSE,0,4.285714286,4.285714286,7.164449132,7.164449132,,Spell 5,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azur/Lusat Glintstone Crown,FALSE,,LH3,Unarmed,Unarmed,0,0,0,117.2892722,100,100,108.2297909,100,1,1,FALSE,FALSE,0,4.285714286,4.285714286,7.164449132,7.164449132,,Spell 6,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max SB,No Catalyst Equipped,,,,,,,,,,,,,,,,,,,,,,,Spell 7,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Spell 8,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Spell 9,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Spell 10,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Spell 11,,Empty,,,,,,,,,,,,,Spell 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
