Type,Name,ID,AtkID,Display Name,slotLength,mp,mp_charge,stamina,stamina_charge,requirementIntellect,requirementFaith,requirementLuck,weapon buff speffect,PhysAtk,MagicAtk,FireAtk,LtngAtk,HolyAtk,heal speffect,Heal Add,Only Uses Int,Only Uses Faith,No Scale,UseDurationMult,miscSpEffect1,miscSpEffect2,miscSpEffect3,miscSpEffect4,durationSpEffect,bulletLifeId,bulletRange,miscBullet,hitRadius,hitRadiusMax,Effect,Duration,Radius,isExtendSpEffectLife,statusSpEffectId1,statusSpEffectId2,statusSpEffectId1Scale,statusSpEffectId2Scale,Status Effect,Magic Category ID 1,Magic Category ID 2,Category Name 1,Category Name 2,MagicCategoryCombined,Catalyst 1,Catalyst 2,Multiplier1,Multiplier2,Catalyst + Multiplier 1,Catalyst + Multiplier 2,Atk Category 1,Atk Category 2, Atk Category 3,Atk Category 4,AtkCategoryCombined,stamina cost,Status Type,Status Buildup,Status Buildup1,Status Buildup2
Sorcery,Glintstone Pebble,4000.0,40000.0,Glintstone Pebble,1.0,7.0,0.0,20.0,0.0,10.0,0.0,0.0,,0.0,152.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,20.0,,,,
Sorcery,Swift Glintstone Shard,4010.0,40100.0,Swift Glintstone Shard,1.0,5.0,0.0,9.0,0.0,12.0,0.0,0.0,,0.0,114.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,9.0,,,,
Sorcery,Great Glintstone Shard,4001.0,40010.0,Great Glintstone Shard,1.0,12.0,0.0,26.0,0.0,16.0,0.0,0.0,,0.0,211.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,26.0,,,,
Sorcery,Glintstone Cometshard,4020.0,40200.0,Glintstone Cometshard,1.0,17.0,17.0,28.0,36.0,36.0,0.0,0.0,,0.0,259.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,6.0,0.0,Azur's Sorcery,,Azur's 1.1x,,,,,,,,,,,,28.0,,,,
Sorcery,Glintstone Cometshard,4020.0,40201.0,Glintstone Cometshard - Charged,1.0,17.0,17.0,28.0,36.0,36.0,0.0,0.0,,0.0,324.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,6.0,0.0,Azur's Sorcery,,Azur's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,36.0,,,,
Sorcery,Comet,4021.0,40210.0,Comet,1.0,24.0,24.0,31.0,40.0,52.0,0.0,0.0,,0.0,292.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,6.0,0.0,Azur's Sorcery,,Azur's 1.1x,,,,,,,,,,,,31.0,,,,
Sorcery,Comet,4021.0,40211.0,Comet - Charged,1.0,24.0,24.0,31.0,40.0,52.0,0.0,0.0,,0.0,365.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,6.0,0.0,Azur's Sorcery,,Azur's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,40.0,,,,
Sorcery,Comet,4021.0,40212.0,Comet - Charged (AoE),1.0,24.0,24.0,31.0,40.0,52.0,0.0,0.0,,0.0,365.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,10402151.0,,1.2,-1.0,,,1.2,,,,,,,6.0,0.0,Azur's Sorcery,,Azur's 1.1x,,,,,,,Charged Spell,,,,Charged Spell,40.0,,,,
Sorcery,Shard Spiral,4030.0,40300.0,Shard Spiral,1.0,14.0,14.0,28.0,36.0,27.0,0.0,0.0,,0.0,92.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,28.0,,,,
Sorcery,Shard Spiral,4030.0,40301.0,Shard Spiral - Charged,1.0,14.0,14.0,28.0,36.0,27.0,0.0,0.0,,0.0,110.0,0.0,0.0,0.0,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,Charged Spell,,,,Charged Spell,36.0,,,,
