,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,To use this sheet: File > Make a copy,,,,,,,
,,,,Update Available:,,FALSE,,,,,
,,,,Link to Original:,,v1.19.1 - last updated 413 days ago,,,,,
,,,,,,,,,,,
,,,,Level,,9.0,,,,"Somber Equivalent
""Cheat Sheet""",
,,,,Upgrade,,0.0,,,,,
,,,,,,,,,,Somber,Standard
,,,,,,Summoning,,Summoned By,,0.0,0
,,,,Summon Signs,,1 - 20,,1 - 21,,1.0,2
,,,,Cipher Ring,,1 - 25,,1 - 27,,2.0,5
,,,,,,,,,,3.0,7
,,,,,,Invading As,,Invaded By,,4.0,10
,,,,Invasions,,8 - 30,,1 - 10,,5.0,12
,,,,,,,,,,6.0,15
,,,,Colosseum,,1 - 21,,,,7.0,17
,,,,,,,,,,8.0,20
,,,,Weapon Range,,0 - 4,,,,9.0,22
,,,,Somber Range,,0 - 1,,,,10.0,25
,,,,,,,,,,,
,,,,Cipher Ring ranges are untested so take those with a grain of salt,,,,,,,
