,,,,,,reinforce,lowerRange,upperRange,somberLowerRange,somberUpperRange,,ID,isUnique,reinforce,reinforceAdjust,,Defaults
level,9,,,,,0.0,0,3.0,0,1,,110000,FALSE,0,0,,9
reinforcement,1,,,,,1.0,0,4.0,0,1,,110000.0,FALSE,0.0,0.0,,0
delineator, - ,,,,,2.0,0,5.0,0,2,,110000.0,FALSE,0.0,0.0,,
,summon lower,summon upper,summoned by lower,summoned by upper,,3.0,0,6.0,0,2,,110000.0,FALSE,0.0,0.0,,
fingerTarnished,1,19.9,1,21.11111111,,4.0,1,7.0,1,3,,110000.0,FALSE,0.0,0.0,,
fingerDuelist,1,19.9,1,21.11111111,,5.0,2,8.0,1,3,,110000.0,FALSE,0.0,0.0,,
cipherRing,1,24.9,1,26.66666667,,6.0,3,10.0,2,4,,,,,,,
,invading lower,invading upper,invaded by lower,invaded by lower,,7.0,4,11.0,2,4,,,,,,,
fingerBloody,8.1,29.9,1,10,,8.0,5,12.0,2,5,,,,,,,
fingerRecusant,8.1,29.9,1,10,,9.0,6,13.0,3,5,,,,,,,
,colosseum lower,colosseum upper,,,,10.0,6,14.0,3,5,,,,,,,
colosseum,1,21.11111111,,,,11.0,7,15.0,3,6,,,,,,,
,lower,upper,,,,12.0,8,17.0,4,7,,,,,,,
reinforcement,0,4,,,,13.0,9,18.0,4,7,,,,,,,
reinforcementSomber,0,1,,,,14.0,10,19.0,4,7,,,,,,,
,,,,,,15.0,11,20.0,5,8,,,,,,,
,summoning,summoned by,,,,16.0,12,21.0,5,8,,,,,,,
tarnished finger display,1 - 20,1 - 21,,,,17.0,12,22.0,5,9,,,,,,,
duelist finger display,1 - 20,1 - 21,,,,18.0,13,24.0,6,9,,,,,,,
cipher ring display,1 - 25,1 - 27,,,,19.0,14,25.0,6,10,,,,,,,
,,,,,,20.0,15,25.0,6,10,,,,,,,
,invading as,invaded by,,,,21.0,16,25.0,7,10,,,,,,,
bloody finger display,8 - 30,1 - 10,,,,22.0,17,25.0,7,10,,,,,,,
recusant finger display,8 - 30,1 - 10,,,,23.0,18,25.0,8,10,,,,,,,
,,,,,,24.0,18,25.0,8,10,,,,,,,
colosseum display,1 - 21,,,,,25.0,19,25.0,8,10,,,,,,,
,,,,,,,,,,,,,,,,,
standard display,0 - 4,,,,,,,,,,,,,,,,
somber display,0 - 1,,,,,,,,,,,,,,,,
