,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,To use this sheet: File > Make a copy,,,,,,,,,,,,,,,,,,,,
,,,,Update Available:,,,FALSE,,,,,,,,,,,,,,,,,
,,,,Link to Original:,,,v1.19.1 - last updated 413 days ago,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MV = Motion Value. This is a link to a sheet with the values listed. You can also find PhysAtkType here.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Class,,,,,,,,,,,,,,Str,Dex,Int,,Fth,Arc,
,,,,Weapon,,Unarmed,,,,,,,,,,Require,,0,0,0,,0,0,
,,,,Upgrade,,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Def,,Dmg Neg,,,,Damage Mult,,,Counter Hit,,,FALSE
,,,,Strength,,14.0,,,,Physical,,79.0,,0.0,,Physical,,1.0,,,Leo Counter Hit,,,FALSE
,,,,Dexterity,,13.0,,,,Strike,,79.0,,0.0,,Strike,,1.0,,,Frost Debuff,,,FALSE
,,,,Intelligence,,9.0,,,,Slash,,79.0,,0.0,,Slash,,1.0,,,Rain Buff/Debuff,,,FALSE
,,,,Faith,,9.0,,,,Pierce,,79.0,,0.0,,Pierce,,1.0,,,,,,
,,,,Arcane,,7.0,,,,Magic,,93.0,,0.0,,Magic,,1.0,,,,,,
,,,,2h,,FALSE,,,,Fire,,85.0,,0.0,,Fire,,1.0,,,,,,
,,,,Attack MV,,100.0,,,,Lightning,,75.0,,0.0,,Lightning,,1.0,,,,,,
,,,,PhysAtkType,,Strike,,,,Holy,,89.0,,0.0,,Holy,,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sort By,,Damage,,,,Avg PvE Def/Neg,,,,FALSE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Damage,,,Total AP,,,Physical AP,,,Magic AP,,,Fire AP,,Lightning AP,,,Holy AP,
,,,,Standard,,2.617505281,,,23.45785443,,,23.45785443,,,-,,,-,,-,,,-,
,,,,Heavy,,,,,,,,,,,,,,,,,,,,
,,,,Keen,,,,,,,,,,,,,,,,,,,,
,,,,Quality,,,,,,,,,,,,,,,,,,,,
,,,,Fire,,,,,,,,,,,,,,,,,,,,
,,,,Flame Art,,,,,,,,,,,,,,,,,,,,
,,,,Lightning,,,,,,,,,,,,,,,,,,,,
,,,,Sacred,,,,,,,,,,,,,,,,,,,,
,,,,Magic,,,,,,,,,,,,,,,,,,,,
,,,,Cold,,,,,,,,,,,,,,,,,,,,
,,,,Poison,,,,,,,,,,,,,,,,,,,,
,,,,Blood,,,,,,,,,,,,,,,,,,,,
,,,,Occult,,,,,,,,,,,,,,,,,,,,
