,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,To use this sheet: File > Make a copy,,,,,,,,,,,,
,,,,Update Available:,,,FALSE,,,,,,,,,
,,,,Link to Original:,,,v1.19.1 - last updated 413 days ago,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Standard Reinforcement,,,,,,25.0,,,,,,
,,,,Special Reinforcement,,,,,,10.0,,,,,,
,,,,,,,,,,,,,,,,
,,,,Strength,,14.0,,,,Effective Only,,TRUE,,,,
,,,,Dexterity,,13.0,,,,Sorceries,,TRUE,,,,
,,,,Intelligence,,9.0,,,,Incantations,,TRUE,,,,
,,,,Faith,,9.0,,,,2h,,FALSE,,,,
,,,,Arcane,,7.0,,,,Sort By,,Spell Buff,,,,
,,,,,,,,,,,,,,,,
,,,,Catalyst,,,,,,,Spell Buff,Int SB,Faith SB,Damage Bonus,,Multiplier
,,,,Frenzied Flame Seal +10,,,,,,,121,103.4285714,106.8571429,Frenzied Flame,,1.2
