,,,sort,,Affinity,ID,reinforceTypeId,attackElementCorrectId,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseDark,correctStrengthRate,correctAgilityRate,correctMagicRate,correctFaithRate,correctLuckRate,correctStrength,correctAgility,correctMagic,correctFaith,correctLuck,correctType_Physics,correctType_Magic,correctType_Fire,correctType_Thunder,correctType_Dark,StrengthCorrect_byPhysics,StrengthCorrect_byMagic,StrengthCorrect_byFire,StrengthCorrect_byThunder,StrengthCorrect_byDark,DexterityCorrect_byPhysics,DexterityCorrect_byMagic,DexterityCorrect_byFire,DexterityCorrect_byThunder,DexterityCorrect_byDark,MagicCorrect_byPhysics,MagicCorrect_byMagic,MagicCorrect_byFire,MagicCorrect_byThunder,MagicCorrect_byDark,FaithCorrect_byPhysics,FaithCorrect_byMagic,FaithCorrect_byFire,FaithCorrect_byThunder,FaithCorrect_byDark,LuckCorrect_byPhysics,LuckCorrect_byMagic,LuckCorrect_byFire,LuckCorrect_byThunder,LuckCorrect_byDark,overwriteStrengthCorrectRate_byPhysics,overwriteStrengthCorrectRate_byMagic,overwriteStrengthCorrectRate_byFire,overwriteStrengthCorrectRate_ByThunder,overwriteStrengthCorrectRate_byDark,overwriteDexterityCorrectRate_byPhysics,overwriteDexterityCorrectRate_byMagic,overwriteDexterityCorrectRate_byFire,overwriteDexterityCorrectRate_ByThunder,overwriteDexterityCorrectRate_byDark,overwriteMagicCorrectRate_byPhysics,overwriteMagicCorrectRate_byMagic,overwriteMagicCorrectRate_byFire,overwriteMagicCorrectRate_ByThunder,overwriteMagicCorrectRate_byDark,overwriteFaithCorrectRate_byPhysics,overwriteFaithCorrectRate_byMagic,overwriteFaithCorrectRate_byFire,overwriteFaithCorrectRate_ByThunder,overwriteFaithCorrectRate_byDark,overwriteLuckCorrectRate_byPhysics,overwriteLuckCorrectRate_byMagic,overwriteLuckCorrectRate_byFire,overwriteLuckCorrectRate_ByThunder,overwriteLuckCorrectRate_byDark,PhysAtk,MagicAtk,FireAtk,ThunAtk,HolyAtk,TotalAtk,AtkSplit,PhysDmg,StrikeDmg,SlashDmg,PierceDmg,MagDmg,FireDmg,ThunDmg,HolyDmg,TotalDmg,,Weapon Class,,,,Upgrade Level,,Defaults
Unarmed,110000,,Standard,,Standard,110000,3000,10000,20,0,0,0,0,1,1,1,1,1,50,50,0,0,0,0,0,0,0,0,18.11896248,0,0,0,0,16.45958186,0,0,16.45958186,0,0,10.11834044,0,0,0,0,0,10.11834044,0,10.11834044,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.45785443,0,0,0,0,23.45785443,23/0/0/0/0,0,2.617505281,0,0,0,0,0,0,2.617505281,,Dagger,,Unarmed,,0,,
Reinforcement Level,0,,Heavy,,Heavy,110100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Throwing Blade,,Select a Weapon Class,,,,Unarmed
properStrength,0,,Keen,,Keen,110200,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Straight Sword,,,,,,0
properAgility,0,,Quality,,Quality,110300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Light Greatsword,,,,,,
properMagic,0,,Fire,,Fire,110400,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Greatsword,,,,,,14
properFaith,0,,Flame Art,,Flame Art,110500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Colossal Sword,,,,,,13.0
properLuck,0,,Lightning,,Lightning,110600,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Thrusting Sword,,,,,,9.0
Strength,14,,Sacred,,Sacred,110700,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Heavy Thrusting Sword,,,,,,9.0
Dexterity,13,,Magic,,Magic,110800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Curved Sword,,,,,,7.0
Intelligence,9,,Cold,,Cold,110900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Curved Greatsword,,,,,,
Faith,9,,Poison,,Poison,111000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Backhand Blade,,,,,,100.0
Arcane,7,,Blood,,Blood,111100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Katana,,,,,,Strike
2h Toggle,FALSE,,Occult,,Occult,111200,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,,Great Katana,,,,,,
