,,,sort,,filter,meet requirements,filter2,name,spell buff,int sb,faith sb,bonus type,bonus,,Catalyst,ID,Reinforcement Level,reinforceTypeId,Base SB,correctStrength,correctAgility,correctMagic,correctFaith,correctLuck,correctType_Physics,correctType_Magic,correctType_Fire,correctType_Thunder,correctType_Dark,attackElementCorrectId,StrScale,DexScale,IntScale,FthScale,ArcScale,str sb,dex sb,int sb,faith sb,arcane sb,spell buff,properStrength,properAgility,properMagic,properFaith,properLuck,meet requirements,name,enableMagic,enableMiracle,,Special Reinforcement,StandardReinforcement,,defaults
Standard Reinforcement,25,,Frenzied Flame Seal +10,,2530000,FALSE,34090000,Frenzied Flame Seal +10,121,103.4285714,106.8571429,Frenzied Flame,1.2,,Carian Sorcery Sword,2530000.0,25,1300,100.0,15,58.5,202.1,0,0,0,4,0,0,0,10000,0,0,16.84210526,0,0,100,100,134.0378947,100,100,134.0378947,10,19,16,0,0,FALSE,Carian Sorcery Sword +25,TRUE,FALSE,,0.0,0.0,,14
Special Reinforcement,10,,,,33130000,FALSE,,,,,,,,,Astrologer's Staff,33130000.0,25,1900,100.0,36,0,267,0,0,16,16,16,16,16,20000,0,0,9.411764706,0,0,100,100,125.1294118,100,100,125.1294118,7,0,16,0,0,FALSE,Astrologer's Staff +25,TRUE,FALSE,,1.0,1.0,,13.0
Strength,14,,,,33000000,FALSE,,,,,,,,,Glintstone Staff,33000000.0,25,1900,100.0,36,0,255,0,0,16,16,16,16,16,20000,0,0,9.411764706,0,0,100,100,124,100,100,124,6,0,10,0,0,FALSE,Glintstone Staff +25,TRUE,FALSE,,2.0,2.0,,9.0
Dexterity,13,,,,33200000,FALSE,,,,,,,,,Academy Glintstone Staff,33200000.0,25,1900,100.0,36,0,273,0,0,16,16,16,16,16,20000,0,0,9.411764706,0,0,100,100,125.6941176,100,100,125.6941176,6,0,28,0,0,FALSE,Academy Glintstone Staff +25,TRUE,FALSE,,3.0,3.0,,9.0
Intelligence,9,,,,33120000,FALSE,,,,,,,,,Digger's Staff,33120000.0,25,1900,100.0,75,0,228,0,0,16,16,16,16,16,20000,0,0,9.411764706,0,0,100,100,121.4588235,100,100,121.4588235,8,0,12,0,0,FALSE,Digger's Staff +25,TRUE,FALSE,,4.0,4.0,,7.0
Faith,9,,,,33060000,FALSE,,,,,,,,,Demi-Human Queen's Staff,33060000.0,25,1900,100.0,75,0,225,0,0,14,14,14,14,14,20000,0,0,16.84210526,0,0,100,100,137.8947368,100,100,137.8947368,6,0,10,0,0,FALSE,Demi-Human Queen's Staff +25,TRUE,FALSE,,5.0,5.0,,
Arcane,7,,,,33230000,FALSE,,,,,,,,,Azur's Glintstone Staff,33230000.0,10,2400,100.0,75,0,276,0,0,15,15,15,15,15,20000,0,0,8.333333333,0,0,100,100,123,100,100,123,10,0,52,0,0,FALSE,Azur's Glintstone Staff +10,TRUE,FALSE,,6.0,6.0,,
Effective Only,TRUE,,,,33240000,FALSE,,,,,,,,,Lusat's Glintstone Staff,33240000.0,10,2400,100.0,75,0,330,0,0,15,15,15,15,15,20000,0,0,8.333333333,0,0,100,100,127.5,100,100,127.5,10,0,52,0,0,FALSE,Lusat's Glintstone Staff +10,TRUE,FALSE,,7.0,7.0,,
Sorceries,TRUE,,,,33210000,FALSE,,,,,,,,,Carian Glintstone Staff,33210000.0,25,1900,100.0,36,0,255,0,0,16,16,16,16,16,20000,0,0,9.411764706,0,0,100,100,124,100,100,124,6,8,24,0,0,FALSE,Carian Glintstone Staff +25,TRUE,FALSE,,8.0,8.0,,
Incantations,TRUE,,,,33170000,FALSE,,,,,,,,,Carian Glintblade Staff,33170000.0,25,1900,100.0,36,30,264,0,0,16,16,16,16,16,20000,0,0,9.411764706,0,0,100,100,124.8470588,100,100,124.8470588,6,12,22,0,0,FALSE,Carian Glintblade Staff +25,TRUE,FALSE,,9.0,9.0,,
