,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,To use this sheet: File > Make a copy,,,,,,,,,,,,Don't edit outside of the green boxes unless you know what you're doing,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Update Available:,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Link to Original:,,v1.19.1 - last updated 413 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Here's an alternative Build Planner that does not require saving a file,,,,,,,,,,
,,,,Build Select,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poise values will not display their floating point errors currently,,,,,
,,,,Name Build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Here's a Poise Optimizer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Starting Class,,Vagabond,,,,,,,,,,Armaments,,,,,,,,,,,,,,,,Armor,,,,,,Stats,,,Effect Source,Effect
,,,,,,,,,,,,,RH1 Class,,,,,,,,Guard Stats,,Physical,Magic,Fire,Lightning,Holy,Total,,Head,,Empty,,,,,HP,522,,,Current gear has no effects,
,,,,Level,,9,,,,,,,Weapon,,,Unarmed,,,,,FALSE,,23.46,-,-,-,-,23.46,,Chest,,Empty,,,,,FP,78,,,,
,,,,,,,,,,,,,Affinity,,,Standard,Scaling,D,D,-,-,-,Status,,,,,SB,,Arms,,Empty,,,,,Stamina,97,,,,
