,,,,,weight,group,,,Base,Modifiers,Total,,Source,Effect,,Slot,Weapon,ID,Affinity,Reinforcement Level,reinforceTypeId,bothHandsAtkBonus,isEnhance,throwable,properStrength,properAgility,properMagic,properFaith,properLuck,Str Requirements Met,Dex Requirements Met,Int Requirements Met,Faith Requirements Met,Arc Requirements Met,atkPhysical,atkMagic,atkFire,atkLightning,atkHoly,correctStr,correctDex,correctInt,correctFth,correctArc,correctStrRate,correctDexRate,correctIntRate,correctFthRate,correctArcRate,correctStrFinal,correctDexFinal,correctIntFinal,correctFthFinal,correctArcFinal,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,holyGuardCutRate,staminaGuardDef,correctType_Physics,correctType_Magic,correctType_Fire,correctType_Thunder,correctType_Dark,correctType_Poison,correctType_Blood,correctType_Sleep,correctType_Madness,attackElementCorrectId,StrengthCorrect_byPhysics,StrengthCorrect_byMagic,StrengthCorrect_byFire,StrengthCorrect_byThunder,StrengthCorrect_byDark,DexterityCorrect_byPhysics,DexterityCorrect_byMagic,DexterityCorrect_byFire,DexterityCorrect_byThunder,DexterityCorrect_byDark,MagicCorrect_byPhysics,MagicCorrect_byMagic,MagicCorrect_byFire,MagicCorrect_byThunder,MagicCorrect_byDark,FaithCorrect_byPhysics,FaithCorrect_byMagic,FaithCorrect_byFire,FaithCorrect_byThunder,FaithCorrect_byDark,LuckCorrect_byPhysics,LuckCorrect_byMagic,LuckCorrect_byFire,LuckCorrect_byThunder,LuckCorrect_byDark,overwriteStrengthCorrectRate_byPhysics,overwriteStrengthCorrectRate_byMagic,overwriteStrengthCorrectRate_byFire,overwriteStrengthCorrectRate_ByThunder,overwriteStrengthCorrectRate_byDark,overwriteDexterityCorrectRate_byPhysics,overwriteDexterityCorrectRate_byMagic,overwriteDexterityCorrectRate_byFire,overwriteDexterityCorrectRate_ByThunder,overwriteDexterityCorrectRate_byDark,overwriteMagicCorrectRate_byPhysics,overwriteMagicCorrectRate_byMagic,overwriteMagicCorrectRate_byFire,overwriteMagicCorrectRate_ByThunder,overwriteMagicCorrectRate_byDark,overwriteFaithCorrectRate_byPhysics,overwriteFaithCorrectRate_byMagic,overwriteFaithCorrectRate_byFire,overwriteFaithCorrectRate_ByThunder,overwriteFaithCorrectRate_byDark,overwriteLuckCorrectRate_byPhysics,overwriteLuckCorrectRate_byMagic,overwriteLuckCorrectRate_byFire,overwriteLuckCorrectRate_ByThunder,overwriteLuckCorrectRate_byDark,physAtkPenalty,magAtkPenalty,fireAtkPenalty,thunAtkPenalty,darkAtkPenalty,statusAtkPenalty,PhysAtk,MagAtk,FireAtk,ThunAtk,HolyAtk,SpellBuff,IntSpellBuff,FthSpellBuff,PhysSB,MagSb,FireSb,ThunSb,HolySb,SpecialStatusSpEffectId,StatusSpEffectId1,StatusSpEffectId2,SpEffectId1Offset,SpEffectId2Offset,PoisonArc,BleedArc,SleepArc,MadnessArc,poizonAttackPower,bloodAttackPower,sleepAttackPower,madnessAttackPower,diseaseAttackPower,freezeAttackPower,curseAttackPower,AtkPoison,AtkBleed,AtkSleep,AtkMadness,AtkRot,AtkFrost,AtkDeath
Vigor,15,,Head,Empty,0,,,Health,522,1,522,,Empty,,,RH1,Unarmed,110000,0,0,3000,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,20,0,0,0,0,50,50,0,0,0,1,1,1,1,1,50,50,0,0,0,30,20,20,20,20,10,0,0,0,0,0,10,10,0,0,10000,18.11896248,0,0,0,0,16.45958186,0,0,16.45958186,0,0,10.11834044,0,0,0,0,0,10.11834044,0,10.11834044,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.45785443,0,0,0,0,0,0,0,117.2892722,100,100,108.2297909,100,,-1,-1,0,0,4.285714286,4.285714286,7.164449132,7.164449132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mind,10,,Chest,Empty,0,,,FP,78,1,78,,,,,RH2,Unarmed,110000,0,0,3000,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,20,0,0,0,0,50,50,0,0,0,1,1,1,1,1,50,50,0,0,0,30,20,20,20,20,10,0,0,0,0,0,10,10,0,0,10000,18.11896248,0,0,0,0,16.45958186,0,0,16.45958186,0,0,10.11834044,0,0,0,0,0,10.11834044,0,10.11834044,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.45785443,0,0,0,0,0,0,0,117.2892722,100,100,108.2297909,100,,-1,-1,0,0,4.285714286,4.285714286,7.164449132,7.164449132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endurance,11,,Arms,Empty,0,,,Stamina,97,1,97,,,,,RH3,Unarmed,110000,0,0,3000,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,20,0,0,0,0,50,50,0,0,0,1,1,1,1,1,50,50,0,0,0,30,20,20,20,20,10,0,0,0,0,0,10,10,0,0,10000,18.11896248,0,0,0,0,16.45958186,0,0,16.45958186,0,0,10.11834044,0,0,0,0,0,10.11834044,0,10.11834044,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.45785443,0,0,0,0,0,0,0,117.2892722,100,100,108.2297909,100,,-1,-1,0,0,4.285714286,4.285714286,7.164449132,7.164449132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strength,14,,Legs,Empty,0,,,Equip Load,49.76470588,1,49.76470588,,,,,LH1,Unarmed,110000,0,0,3000,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,20,0,0,0,0,50,50,0,0,0,1,1,1,1,1,50,50,0,0,0,30,20,20,20,20,10,0,0,0,0,0,10,10,0,0,10000,18.11896248,0,0,0,0,16.45958186,0,0,16.45958186,0,0,10.11834044,0,0,0,0,0,10.11834044,0,10.11834044,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.45785443,0,0,0,0,0,0,0,117.2892722,100,100,108.2297909,100,,-1,-1,0,0,4.285714286,4.285714286,7.164449132,7.164449132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dexterity,13,,,,,,,Discovery,1.07,0,1.07,,,,,LH2,Unarmed,110000,0,0,3000,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,20,0,0,0,0,50,50,0,0,0,1,1,1,1,1,50,50,0,0,0,30,20,20,20,20,10,0,0,0,0,0,10,10,0,0,10000,18.11896248,0,0,0,0,16.45958186,0,0,16.45958186,0,0,10.11834044,0,0,0,0,0,10.11834044,0,10.11834044,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.45785443,0,0,0,0,0,0,0,117.2892722,100,100,108.2297909,100,,-1,-1,0,0,4.285714286,4.285714286,7.164449132,7.164449132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence,9,,Talisman 1,Empty,0,0,,Physical Def,79,,,,Empty,,,LH3,Unarmed,110000,0,0,3000,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,20,0,0,0,0,50,50,0,0,0,1,1,1,1,1,50,50,0,0,0,30,20,20,20,20,10,0,0,0,0,0,10,10,0,0,10000,18.11896248,0,0,0,0,16.45958186,0,0,16.45958186,0,0,10.11834044,0,0,0,0,0,10.11834044,0,10.11834044,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.45785443,0,0,0,0,0,0,0,117.2892722,100,100,108.2297909,100,,-1,-1,0,0,4.285714286,4.285714286,7.164449132,7.164449132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faith,9,,Talisman 2,Empty,0,0,,Magic Def,93,,,,Empty,,,2h,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane,7,,Talisman 3,Empty,0,0,,Fire Def,85,,,,Empty,,,vlookup1,,,,,,,,,,,,,,,,,,,27,28,29,30,55,5,6,7,8,65,10,11,12,13,28,,,,,,9,10,11,12,54,32,35,51,52,53,56,57,61,68,69,67,3,8,13,18,23,4,9,14,19,24,5,10,15,20,25,6,11,16,21,26,7,12,17,22,27,29,34,39,44,49,30,35,40,45,50,31,36,41,46,51,32,37,42,47,52,33,38,43,48,53,,,,,,,,,,,,46,46,46,,,,,,,13,14,23,24,,,,,3,5,7,8,4,6,9,,,,,,,
Level,9,,Talisman 4,Empty,0,0,,Lightning Def,75,,,,Empty,,,vlookup2,,,,,,,,,,,,,,,,,,,3,4,5,6,26,,,,,,,,,,,,,,,,14,15,16,17,27,22,,,,,,,,,,,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47,,,,,,,,,,,8,8,8,8,,,,,,,,,,,,,,
,,,,,,,,Holy Def,89,,,,,,,vlookup3,,,,,,,,,,,,,,,,,,,3,4,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
