ID,Name,physicsAtkRate,magicAtkRate,fireAtkRate,thunderAtkRate,staminaAtkRate,saWeaponAtkRate,saDurabilityRate,correctStrengthRate,correctAgilityRate,correctMagicRate,correctFaithRate,physicsGuardCutRate,magicGuardCutRate,fireGuardCutRate,thunderGuardCutRate,poisonGuardResistRate,diseaseGuardResistRate,bloodGuardResistRate,curseGuardResistRate,staminaGuardDefRate,spEffectId1,spEffectId2,spEffectId3,darkAtkRate,darkGuardCutRate,correctLuckRate,freezeGuardDefRate,sleepGuardDefRate,madnessGuardDefRate,baseAtkRate
,,(物理攻撃力基本値 - 物理攻撃力の補正値),(魔法攻撃力基本値 - 魔法攻撃力の補正値),(炎攻撃力基本値 - 炎攻撃力の補正値),(電撃攻撃力基本値 - 電撃攻撃力の補正値),(スタミナ攻撃力 - スタミナ攻撃力の補正値),(SA武器攻撃力 - スーパーアーマー武器攻撃色の補正値),(SA耐久値 - SA耐久力の補正値),(筋力補正 - 筋力補正の補正値),(俊敏補正 - 俊敏補正の補正値),(魔力補正 - 魔力補正の補正値),(信仰補正 - 信仰補正の補正値),(ガード時物理攻撃カット率 - ガード時物理攻撃カット率の補正値),(ガード時魔法攻撃カット率 - ガード時魔法攻撃カット率の補正値),(ガード時炎攻撃カット率 - ガード時炎攻撃カット率の補正値),(ガード時電撃攻撃カット率 - ガード時電撃攻撃カット率の補正値),(ガード時毒攻撃カット率 - ガード時毒攻撃カット率の補正値),(ガード時疫病攻撃カット率 - ガード時疫病攻撃カット率の補正値),(ガード時出血攻撃カット率 - ガード時出血攻撃カット率の補正値),(ガード時呪攻撃カット率 - ガード時呪い攻撃カット率の補正値),(ガード時スタミナ防御力 - ガード時スタミナ防御力の補正値),(特殊効果ID1 - 特殊効果ID1の加算補正値),(特殊効果ID2 - 特殊効果ID2の加算補正値),(特殊効果ID3 - 特殊効果ID3の加算補正値),(闇攻撃力基本値 - 闇攻撃力の補正値),(ガード時闇攻撃カット率 - ガード時闇攻撃カット率の補正値),(運補正 - 運補正の補正値),(ガード時冷気攻撃カット率 - ガード時冷気攻撃カット率の補正値),(ガード時睡眠攻撃カット率 - ガード時睡眠攻撃カット率の補正値),(ガード時発狂攻撃カット率 - ガード時発狂攻撃カット率の補正値),(加算攻撃力倍率 - 加算攻撃力倍率)
0.0,Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,,1.058,1.058,1.058,1.058,1.04,1.0,1.0,1.02,1.02,1.04,1.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,0.0,0.0,0.0,1.058,1.0,1.04,1.0,1.0,1.0,1.12
2.0,,1.116,1.116,1.116,1.116,1.08,1.0,1.0,1.04,1.04,1.08,1.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,0.0,0.0,0.0,1.116,1.0,1.08,1.0,1.0,1.0,1.24
3.0,,1.174,1.174,1.174,1.174,1.12,1.0,1.0,1.06,1.06,1.12,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03,0.0,0.0,0.0,1.174,1.0,1.12,1.0,1.0,1.0,1.36
4.0,,1.232,1.232,1.232,1.232,1.16,1.0,1.0,1.08,1.08,1.16,1.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,0.0,0.0,0.0,1.232,1.0,1.16,1.0,1.0,1.0,1.48
5.0,,1.29,1.29,1.29,1.29,1.2,1.0,1.0,1.1,1.1,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.0,0.0,0.0,1.29,1.0,1.2,1.0,1.0,1.0,1.6
6.0,,1.348,1.348,1.348,1.348,1.24,1.0,1.0,1.12,1.12,1.24,1.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.06,0.0,0.0,0.0,1.348,1.0,1.24,1.0,1.0,1.0,1.72
7.0,,1.406,1.406,1.406,1.406,1.28,1.0,1.0,1.14,1.14,1.28,1.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,0.0,0.0,0.0,1.406,1.0,1.28,1.0,1.0,1.0,1.84
8.0,,1.464,1.464,1.464,1.464,1.32,1.0,1.0,1.16,1.16,1.32,1.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,0.0,0.0,0.0,1.464,1.0,1.32,1.0,1.0,1.0,1.96
