Endurance,Equip Load,,,
1.0,45,,Equipped Weight,0
2.0,45,,Equipload Modifier,1
3.0,45,,,
4.0,45,,Mid Roll,8
5.0,45,,Light Roll,8
6.0,45,,,
7.0,45,,,
8.0,45,,,
9.0,46.58823529,,,
10.0,48.17647059,,,
11.0,49.76470588,,,
12.0,51.35294118,,,
13.0,52.94117647,,,
14.0,54.52941176,,,
15.0,56.11764706,,,
16.0,57.70588235,,,
17.0,59.29411765,,,
18.0,60.88235294,,,
19.0,62.47058824,,,
20.0,64.05882353,,,
21.0,65.64705882,,,
22.0,67.23529412,,,
23.0,68.82352941,,,
24.0,70.41176471,,,
25.0,72,,,
26.0,72.96109516,,,
27.0,74.06015257,,,
28.0,75.21810173,,,
29.0,76.4160337,,,
30.0,77.64460288,,,
31.0,78.89815207,,,
32.0,80.17286326,,,
33.0,81.46597546,,,
34.0,82.77539375,,,
35.0,84.09947116,,,
36.0,85.43687702,,,
37.0,86.78651265,,,
38.0,88.14745475,,,
39.0,89.5189159,,,
40.0,90.90021626,,,
41.0,92.29076259,,,
42.0,93.69003247,,,
43.0,95.09756214,,,
44.0,96.51293703,,,
45.0,97.93578419,,,
46.0,99.36576624,,,
47.0,100.8025764,,,
48.0,102.2459346,,,
49.0,103.6955837,,,
50.0,105.1512874,,,
51.0,106.612827,,,
52.0,108.08,,,
53.0,109.5526183,,,
54.0,111.0305064,,,
55.0,112.5135005,,,
56.0,114.0014469,,,
57.0,115.4942018,,,
58.0,116.9916295,,,
59.0,118.4936024,,,
60.0,120,,,
61.0,121.025641,,,
62.0,122.0512821,,,
63.0,123.0769231,,,
64.0,124.1025641,,,
65.0,125.1282051,,,
66.0,126.1538462,,,
67.0,127.1794872,,,
68.0,128.2051282,,,
69.0,129.2307692,,,
70.0,130.2564103,,,
71.0,131.2820513,,,
72.0,132.3076923,,,
73.0,133.3333333,,,
74.0,134.3589744,,,
75.0,135.3846154,,,
76.0,136.4102564,,,
77.0,137.4358974,,,
78.0,138.4615385,,,
79.0,139.4871795,,,
80.0,140.5128205,,,
81.0,141.5384615,,,
82.0,142.5641026,,,
83.0,143.5897436,,,
84.0,144.6153846,,,
85.0,145.6410256,,,
86.0,146.6666667,,,
87.0,147.6923077,,,
88.0,148.7179487,,,
89.0,149.7435897,,,
90.0,150.7692308,,,
91.0,151.7948718,,,
92.0,152.8205128,,,
93.0,153.8461538,,,
94.0,154.8717949,,,
95.0,155.8974359,,,
96.0,156.9230769,,,
97.0,157.9487179,,,
98.0,158.974359,,,
99.0,160,,,
