Vagabond,Warrior,Hero,Bandit,Astrologer,Prophet,Samurai,Prisoner,Confessor,Wretch
15.0,11.0,14.0,10.0,9.0,10.0,12.0,11.0,10.0,10.0
10.0,12.0,9.0,11.0,15.0,14.0,11.0,12.0,13.0,10.0
11.0,11.0,12.0,10.0,9.0,8.0,13.0,11.0,10.0,10.0
14.0,10.0,16.0,9.0,8.0,11.0,12.0,11.0,12.0,10.0
13.0,16.0,9.0,13.0,12.0,10.0,15.0,14.0,12.0,10.0
9.0,10.0,7.0,9.0,16.0,7.0,9.0,14.0,9.0,10.0
9.0,8.0,8.0,8.0,7.0,16.0,8.0,6.0,14.0,10.0
7.0,9.0,11.0,14.0,9.0,10.0,8.0,9.0,9.0,10.0
Optimal Starting Class Calculation,,,,,,,,,
15,11,14,10,9,10,12,11,10,10
10,12,9,11,15,14,11,12,13,10
11,11,12,10,9,8,13,11,10,10
14,10,16,9,8,11,12,11,12,10
13,16,9,13,12,10,15,14,12,10
9,10,7,9,16,7,9,14,9,10
9,8,8,8,7,16,8,6,14,10
7,9,11,14,9,10,8,9,9,10
9,8,7,5,6,7,9,9,10,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Wretch,,,,,,,,,
1,,,,,,,,,
