SpEffectId,statusType,poizonAttackPower,diseaseAttackPower,bloodAttackPower,freezeAttackPower,sleepAttackPower,madnessAttackPower,curseAttackPower,effectEndurance,changeHpRate,changeHpPoint,changeMpRate,changeMpPoint,neutralDamageCutRate
826.0,Frost,0.0,0.0,0.0,30.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0
828.0,Frost,0.0,0.0,0.0,30.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0
829.0,Frost,0.0,0.0,0.0,120.0,0.0,0.0,0.0,30.0,10.0,30.0,0.0,0.0,1.2
831.0,Poison,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0
833.0,Poison,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0
834.0,Poison,120.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.1,8.0,0.0,0.0,1.0
870.0,Bleed,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,15.0,100.0,0.0,0.0,1.0
875.0,Frost,0.0,0.0,0.0,70.0,0.0,0.0,0.0,30.0,10.0,30.0,0.0,0.0,1.2
880.0,Frost,0.0,0.0,0.0,60.0,0.0,0.0,0.0,30.0,10.0,30.0,0.0,0.0,1.2
881.0,Frost,0.0,0.0,0.0,60.0,0.0,0.0,0.0,30.0,10.0,30.0,0.0,0.0,1.2
882.0,Poison,60.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.1,8.0,0.0,0.0,1.0
883.0,Poison,60.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.1,8.0,0.0,0.0,1.0
1530.0,Frost,0.0,0.0,0.0,160.0,0.0,0.0,0.0,20.0,10.0,30.0,0.0,0.0,1.2
1575.0,Frost,0.0,0.0,0.0,100.0,0.0,0.0,0.0,30.0,10.0,30.0,0.0,0.0,1.2
1576.0,Frost,0.0,0.0,0.0,60.0,0.0,0.0,0.0,30.0,10.0,30.0,0.0,0.0,1.2
