Talisman,ID,accessoryGroup
Crimson Amber Medallion,1000.0,1000
Crimson Amber Medallion +1,1001.0,1000.0
Crimson Amber Medallion +2,1002.0,1000.0
Crimson Amber Medallion +3,7000.0,1000.0
Crimson Seed Talisman,5000.0,5000.0
Crimson Seed Talisman +1,7140.0,5000.0
Blessed Dew Talisman,5020.0,5020.0
Cerulean Amber Medallion,1010.0,1010.0
Cerulean Amber Medallion +1,1011.0,1010.0
Cerulean Amber Medallion +2,1012.0,1010.0
Cerulean Amber Medallion +3,7010.0,1010.0
Cerulean Seed Talisman,5010.0,5010.0
Cerulean Seed Talisman +1,7150.0,5010.0
Blessed Blue Dew Talisman,8000.0,8000.0
Talisman of Lord's Bestowal,8200.0,8200.0
Viridian Amber Medallion,1020.0,1020.0
Viridian Amber Medallion +1,1021.0,1020.0
Viridian Amber Medallion +2,1022.0,1020.0
Viridian Amber Medallion +3,7020.0,1020.0
Green Turtle Talisman,1150.0,1150.0
Two-Headed Turtle Talisman,7030.0,1150.0
Arsenal Charm,1030.0,1030.0
Arsenal Charm +1,1031.0,1030.0
Great-Jar's Arsenal,1032.0,1030.0
Erdtree's Favor,1040.0,1040.0
Erdtree's Favor +1,1041.0,1040.0
Erdtree's Favor +2,1042.0,1040.0
Radagon's Scarseal,1050.0,1050.0
Radagon's Soreseal,1051.0,1050.0
Marika's Scarseal,1220.0,1220.0
Marika's Soreseal,1221.0,1220.0
Starscourge Heirloom,1060.0,1060.0
Prosthesis-Wearer Heirloom,1070.0,1070.0
Stargazer Heirloom,1080.0,1080.0
Two Fingers Heirloom,1090.0,1090.0
Outer God Heirloom,8020.0,8020.0
Dragoncrest Shield Talisman,4000.0,4000.0
Dragoncrest Shield Talisman +1,4001.0,4000.0
Dragoncrest Shield Talisman +2,4002.0,4000.0
Dragoncrest Greatshield Talisman,4003.0,4000.0
Spelldrake Talisman,4010.0,4010.0
Spelldrake Talisman +1,4011.0,4010.0
Spelldrake Talisman +2,4012.0,4010.0
Spelldrake Talisman +3,7090.0,4010.0
Flamedrake Talisman,4020.0,4020.0
Flamedrake Talisman +1,4021.0,4020.0
Flamedrake Talisman +2,4022.0,4020.0
Flamedrake Talisman +3,7100.0,4020.0
Boltdrake Talisman,4030.0,4030.0
Boltdrake Talisman +1,4031.0,4030.0
Boltdrake Talisman +2,4032.0,4030.0
Boltdrake Talisman +3,7110.0,4030.0
Haligdrake Talisman,4040.0,4040.0
Haligdrake Talisman +1,4041.0,4040.0
Haligdrake Talisman +2,4042.0,4040.0
Golden Braid,7120.0,4040.0
Pearldrake Talisman,4050.0,4050.0
Pearldrake Talisman +1,4051.0,4050.0
Pearldrake Talisman +2,4052.0,4050.0
Pearldrake Talisman +3,7130.0,4050.0
Immunizing Horn Charm,1170.0,1170.0
Immunizing Horn Charm +1,1171.0,1170.0
Immunizing Horn Charm +2,7050.0,1170.0
Stalwart Horn Charm,1160.0,1160.0
Stalwart Horn Charm +1,1161.0,1160.0
Stalwart Horn Charm +2,7040.0,1160.0
Clarifying Horn Charm,1180.0,1180.0
