Weapon Class,Weapon,ID,isInfuse,isReinforce,isUnique,bothHandsAtkBonus,throwable,waAttackElementCorrectId,specialStatusSpEffectId,castingBonusType,castingBonusRate,defaultPhysType,,Infusion,Offset
Dagger,Dagger,1000000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Standard,0.0
Dagger,Parrying Dagger,1020000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Heavy,100.0
Dagger,Miséricorde,1030000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Keen,200.0
Dagger,Great Knife,1090000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Quality,300.0
Dagger,Bloodstained Dagger,1140000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Fire,400.0
Dagger,Erdsteel Dagger,1150000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Flame Art,500.0
Dagger,Fire Knight's Shortsword,1510000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Lightning,600.0
Dagger,Wakizashi,1100000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Sacred,700.0
Dagger,Main-gauche,1500000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Magic,800.0
Dagger,Celebrant's Sickle,1060000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Cold,900.0
Dagger,Ivory Sickle,1130000.0,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Poison,1000.0
Dagger,Crystal Knife,1050000.0,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,Slash,,Blood,1100.0
Dagger,Scorpion's Stinger,1080000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Slash,,Occult,1200.0
Dagger,Cinquedea,1110000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Slash,,,
Dagger,Glintstone Kris,1070000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Slash,,,
Dagger,Reduvia,1040000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Slash,,,
Dagger,Blade of Calling,1160000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Slash,,,
Dagger,Black Knife,1010000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Slash,,,
Throwing Blade,Smithscript Dagger,63500000.0,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,Slash,,,
Straight Sword,Short Sword,2010000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Longsword,2000000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Broadsword,2020000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Weathered Straight Sword,2050000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Lordsworn's Straight Sword,2040000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Noble's Slender Sword,2230000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Cane Sword,2210000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Stone-Sheathed Sword,2540000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Strike,,,
Straight Sword,Warhawk's Talon,2240000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Lazuli Glintstone Sword,2250000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Carian Knight's Sword,2180000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Crystal Sword,2150000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Rotten Crystal Sword,2260000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Miquellan Knight's Sword,2200000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Ornamental Straight Sword,2060000.0,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,Standard,,,
Straight Sword,Golden Epitaph,2070000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Sword of St. Trina,2190000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Velvet Sword of St. Trina,2510000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Regalia of Eochaid,2220000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Coded Sword,2110000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Sword of Night and Flame,2140000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Sword of Light,2550000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Straight Sword,Sword of Darkness,2560000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Light Greatsword,Milady,67500000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Light Greatsword,Leda's Sword,67510000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Light Greatsword,Rellana's Twin Blades,67520000.0,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,Standard,,,
Greatsword,Bastard Sword,3000000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Claymore,3180000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Iron Greatsword,3020000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Lordsworn's Greatsword,3030000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Knight's Greatsword,3040000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Banished Knight's Greatsword,3080000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Forked Greatsword,3010000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Lizard Greatsword,3520000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Strike,,,
Greatsword,Flamberge,3050000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Gargoyle's Greatsword,3190000.0,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Gargoyle's Blackblade,3210000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Inseparable Sword,2090000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Sword of Milos,3160000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Marais Executioner's Sword,3150000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Greatsword of Solitude,3550000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Ordovis's Greatsword,3060000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Alabaster Lord's Sword,3070000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Death's Poker,3200000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
Greatsword,Helphen's Steeple,3130000.0,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,Standard,,,
