SHEET: ApCalcData
WORKBOOK: Copy of ER - Build Planner v1.19.1.xlsx
USED RANGE: A1:AD47
NONEMPTY CELLS: 608
FORMULA CELLS: 382

This file is for an LLM that must rebuild these calculations in another language. Treat formulas as the source of truth. Cached/fallback values are only for checking a port. Skip spill_cache cells; they are not logic.

MERGED RANGES (2):
  D1:E1
  G1:H1

STATIC / INPUT / LABEL CELLS (226):
coord	value
D1	Base
G1	Modifiers
N1	Strength
O1	Dexterity
P1	Intelligence
Q1	Faith
R1	Arcane
V1	Available Infusions
X1	Upgrade Level
Z1	Status Buffs
AA1	Usable
AB1	Dropdown
AD1	Defaults
D2	attackBasePhysics
G2	physicsAtkRate
J2	correctType_Physics
N2	strength
O2	dexterity
P2	magic
Q2	faith
R2	luck
T2	Unarmed
Z2	Poison Grease
D3	attackBaseMagic
G3	magicAtkRate
J3	strengthCorrect_byPhysics
M3	correct
Z3	Rot Grease
A4	Reinforcement Level
D4	attackBaseFire
G4	fireAtkRate
J4	dexterityCorrect_byPhysics
M4	correctRate
Z4	Blood Grease
A5	reinforceTypeId
D5	attackBaseThunder
G5	thunderAtkRate
J5	magicCorrect_byPhysics
Z5	Freezing Grease
A6	attackElementCorrectId
D6	attackBaseDark
G6	darkAtkRate
J6	faithCorrect_byPhysics
M6	correct_byPhysics
Z6	Soporific Grease
A7	SpecialStatusSpEffectId
J7	luckCorrect_byPhysics
M7	correct_byMagic
Z7	Drawstring Poison Grease
A8	gemMountType
D8	correctStrength
G8	correctStrengthRate
M8	correct_byFire
Z8	Drawstring Rot Grease
AD8	13.0
A9	disableGemAttr
D9	correctAgility
G9	correctAgilityRate
J9	correctType_Magic
M9	correct_byThunder
Z9	Drawstring Blood Grease
AD9	9.0
A10	Throwable
D10	correctMagic
G10	correctMagicRate
J10	strengthCorrect_byMagic
M10	correct_byDark
Z10	Drawstring Soporific Grease
AD10	9.0
A11	isEnhance
D11	correctFaith
G11	correctFaithRate
J11	dexterityCorrect_byMagic
Z11	Frozen Armament
AD11	7.0
A12	enableMagic
D12	correctLuck
G12	correctLuckRate
J12	magicCorrect_byMagic
M12	isCorrect_byPhysics
Z12	Poison Armament
A13	enableMiracle
J13	faithCorrect_byMagic
M13	isCorrect_byMagic
Z13	Bloodflame Blade (only bleed)
A14	isDualBlade
D14	physGuardCutRate
G14	physicsGuardCutRate
J14	luckCorrect_byMagic
M14	isCorrect_byFire
Z14	Seppuku (only bleed; +30 phys AP)
A15	properStrength
D15	magGuardCutRate
G15	magicGuardCutRate
M15	isCorrect_byThunder
Z15	Poisonous Mist
A16	properAgility
D16	fireGuardCutRate
G16	fireGuardCutRate
J16	correctType_Fire
M16	isCorrect_byDark
Z16	Chilling Mist
A17	properMagic
D17	thunGuardCutRate
G17	thunderGuardCutRate
J17	strengthCorrect_byFire
A18	properFaith
D18	darkGuardCutRate
G18	darkGuardCutRate
J18	dexterityCorrect_byFire
M18	overwriteCorrectRate_byPhysics
A19	properLuck
D19	poisonGuardResist
G19	poisonGuardResistRate
J19	magicCorrect_byFire
M19	overwriteCorrectRate_byMagic
A20	Strength
D20	diseaseGuardResist
G20	diseaseGuardResistRate
J20	faithCorrect_byFire
M20	overwriteCorrectRate_byFire
A21	Dexterity
D21	bloodGuardResist
G21	bloodGuardResistRate
J21	luckCorrect_byFire
M21	overwriteCorrectRate_ByThunder
A22	Intelligence
D22	freezeGuardResist
G22	freezeGuardDefRate
M22	overwriteCorrectRate_byDark
A23	Faith
D23	sleepGuardResist
G23	sleepGuardDefRate
J23	correctType_Thunder
A24	Arcane
D24	madnessGuardResist
G24	madnessGuardDefRate
J24	strengthCorrect_byThunder
M24	influenceCorrectRate_byPhysics
A25	2h
D25	curseGuardResist
G25	curseGuardResistRate
J25	dexterityCorrect_byThunder
M25	influenceCorrectRate_byMagic
A26	Str Requirements Met
D26	staminaGuardDef
G26	staminaGuardDefRate
J26	magicCorrect_byThunder
M26	influenceCorrectRate_byFire
A27	Dex Requirements Met
J27	faithCorrect_byThunder
M27	influenceCorrectRate_byThunder
A28	Int Requirements Met
G28	baseAtkRate
J28	luckCorrect_byThunder
M28	influenceCorrectRate_byDark
A29	Faith Requirements Met
A30	Arc Requirements Met
D30	spEffectBehaviorId0
G30	spEffectBehaviorId1
J30	correctType_Dark
M30	correctRate_byPhysics
A31	ignoreRequirements
D31	spEffectId1
G31	spEffectId2
J31	strengthCorrect_byDark
M31	correctRate_byMagic
A32	Status Buff
D32	poizonAttackPower
G32	poizonAttackPower
J32	dexterityCorrect_byDark
M32	correctRate_byFire
A33	Weapon Class
D33	diseaseAttackPower
G33	diseaseAttackPower
J33	magicCorrect_byDark
M33	correctRate_byThunder
D34	bloodAttackPower
G34	bloodAttackPower
J34	faithCorrect_byDark
M34	correctRate_byDark
A35	overwriteAttackElementCorrectId
D35	freezeAttackPower
G35	freezeAttackPower
J35	luckCorrect_byDark
A36	overwriteAttackBasePhysics
D36	sleepAttackPower
G36	sleepAttackPower
M36	lowStatus_AtkPowDown
A37	overwriteAttackBaseMagic
D37	madnessAttackPower
G37	madnessAttackPower
J37	correctType_Poison
M37	physAtkPenalty
P37	negPhysScale
A38	overwriteAttackBaseFire
J38	luckCorrect_byPoison
M38	magAtkPenalty
P38	negMagScale
A39	overwriteAttackBaseThunder
D39	StatusBuffSpEffectId
M39	fireAtkPenalty
P39	negFireScale
A40	overwriteAttackBaseDark
J40	correctType_Blood
M40	thunAtkPenalty
P40	negThunScale
A41	baseAtkRate
J41	luckCorrect_byBlood
M41	darkAtkPenalty
