SHEET: BuildsData
WORKBOOK: Copy of ER - Build Planner v1.19.1.xlsx
USED RANGE: A1:AQ706
NONEMPTY CELLS: 6233
FORMULA CELLS: 259

This file is for an LLM that must rebuild these calculations in another language. Treat formulas as the source of truth. Cached/fallback values are only for checking a port. Skip spill_cache cells; they are not logic.

STATIC / INPUT / LABEL CELLS (5974):
coord	value
D1	Type
E1	Planner
F1	ID
K1	Type
L1	ID
M1	Translation
N1	Affinity
O1	Upgrade
P1	Class
R1	Starting Class
S1	ID
U1	Armor
V1	ID
X1	Talisman
Y1	ID
AA1	Great Rune
AB1	ID
AD1	Crystal Tear
AE1	ID
AH1	Weapon
AI1	ID
AK1	isUnique
AM1	Affinity
AN1	ID
AP1	Magic
AQ1	ID
A2	Build Name
D2	Starting Class
H2	Planner Selection Build ID
K2	Starting Class
R2	Vagabond
S2	10.0
U2	Empty
V2	0.0
X2	Empty
Y2	0.0
AA2	Empty
AB2	0.0
AD2	Empty
AE2	0.0
AG2	Dagger
AH2	Dagger
AI2	1000000.0
AJ2	TRUE
AK2	FALSE
AN2	0.0
AP2	Empty
AQ2	0.0
A3	Build ID
D3	Vigor
K3	Vigor
R3	Warrior
S3	20.0
V3	810000.0
Y3	1000.0
AB3	191.0
AE3	11002.0
AG3	Dagger
AH3	Parrying Dagger
AI3	1020000.0
AJ3	TRUE
AK3	FALSE
AM3	Heavy
AN3	100.0
AQ3	4000.0
A4	Filter
D4	Mind
H4	Default Build ID
I4	0xA-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0x1ADB0-0xA-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-0x0-…
K4	Mind
R4	Hero
S4	30.0
U4	Commoner's Headband (Altered)
V4	811000.0
X4	Crimson Amber Medallion +1
Y4	1001.0
AA4	Rykard's Great Rune
AB4	194.0
AD4	Crimson Crystal Tear 2
AE4	11003.0
AG4	Dagger
AH4	Miséricorde
AI4	1030000.0
AJ4	TRUE
AK4	FALSE
AM4	Keen
AN4	200.0
AP4	Swift Glintstone Shard
AQ4	4010.0
A5	Edit Flag
D5	Endurance
K5	Endurance
R5	Bandit
S5	40.0
U5	Aristocrat Headband
V5	370000.0
X5	Crimson Amber Medallion +2
Y5	1002.0
AA5	Radahn's Great Rune
AB5	192.0
AD5	Crimsonspill Crystal Tear
AE5	11000.0
AG5	Dagger
AH5	Great Knife
AI5	1090000.0
AJ5	TRUE
AK5	FALSE
AM5	Quality
AN5	300.0
AP5	Great Glintstone Shard
AQ5	4001.0
A6	Selected Row
D6	Strength
H6	Dropdown Selected Build ID
K6	Strength
R6	Astrologer
S6	50.0
U6	Aristocrat Hat
V6	380000.0
X6	Crimson Amber Medallion +3
Y6	7000.0
AA6	Morgott's Great Rune
AB6	193.0
AD6	Crimsonburst Crystal Tear
AE6	11009.0
AG6	Dagger
AH6	Bloodstained Dagger
AI6	1140000.0
AJ6	TRUE
AK6	FALSE
AM6	Fire
AN6	400.0
AP6	Glintstone Cometshard
AQ6	4020.0
A7	Script Used Flag
B7	FALSE
D7	Dexterity
K7	Dexterity
R7	Prophet
S7	60.0
U7	Old Aristocrat Cowl
V7	390000.0
X7	Crimson Seed Talisman
Y7	5000.0
AA7	Mohg's Great Rune
AB7	195.0
AD7	Crimsonburst Dried Tear
