SHEET: Downscaling (Alpha)
WORKBOOK: Copy of ER - Build Planner v1.19.1.xlsx
USED RANGE: A1:O34
NONEMPTY CELLS: 211
FORMULA CELLS: 53

This file is for an LLM that must rebuild these calculations in another language. Treat formulas as the source of truth. Cached/fallback values are only for checking a port. Skip spill_cache cells; they are not logic.

VISIBILITY: hidden
STATIC / INPUT / LABEL CELLS (158):
coord	value
M1	reinforce
N1	lowerRange
O1	upperRange
B2	host level
C2	125.0
E2	summonDataCoopMatchingWepLevelMul
F2	10.0
I2	CalcCorrectGraph
J2	host_max
K2	summon_min
M2	0.0
N2	0.0
O2	3.0
B3	host weapon level
C3	25.0
E3	machingLevelWhiteSignUpperRel
F3	10.0
H3	Multiplayer Correction - HP
I3	300.0
M3	1.0
N3	0.0
O3	4.0
E4	machingLevelWhiteSignUpperAbs
F4	10.0
H4	Multiplayer Correction - FP
I4	301.0
M4	2.0
N4	0.0
O4	5.0
B5	phantom level
C5	713.0
E5	machingLevelRedSignUpperRel
F5	10.0
H5	Multiplayer Correction - Stamina
I5	302.0
M5	3.0
N5	0.0
O5	6.0
B6	phantom weapon level
C6	25.0
E6	machingLevelRedSignUpperAbs
F6	10.0
H6	Multiplayer Correction - Defense
I6	303.0
M6	4.0
N6	1.0
O6	7.0
E7	summonDataCoopMatchingSpiritAshLevelMul
F7	25.0
H7	Multiplayer Correction - Resistance
I7	304.0
M7	5.0
N7	2.0
O7	8.0
B8	host_maxScore
H8	Multiplayer Correction - Regular Weapons Damage
I8	310.0
M8	6.0
N8	3.0
O8	10.0
B9	summon_minScore
H9	Multiplayer Correction - Daggers/Throwing Blades Damage
I9	320.0
M9	7.0
N9	4.0
O9	11.0
H10	Multiplayer Correction - Colossal Weapons/Greatshields Damage
I10	330.0
M10	8.0
N10	5.0
O10	12.0
B11	hostLevel_upperRange
H11	Multiplayer Correction - Bows/Bolts/Arrows Damage
I11	340.0
M11	9.0
N11	6.0
O11	13.0
B12	hostWeapon_upperRange
H12	Multiplayer Correction - Greatbows/Ballistas Damage
I12	341.0
M12	10.0
N12	6.0
O12	14.0
B13	outsideLevelRange
H13	Multiplayer Correction - Crossbows Damage
I13	342.0
M13	11.0
N13	7.0
O13	15.0
B14	outsideWeaponRange
H14	Multiplayer Correction - Staves Damage
I14	350.0
M14	12.0
N14	8.0
O14	17.0
H15	Multiplayer Correction - Seals Damage
I15	351.0
M15	13.0
N15	9.0
O15	18.0
B16	HP Multiplier
H16	Multiplayer Correction - Throwing Items Damage
I16	400.0
M16	14.0
N16	10.0
O16	19.0
B17	FP Multiplier
H17	Multiplayer Correction - Consumable Items Damage
I17	401.0
M17	15.0
N17	11.0
O17	20.0
B18	Stamina Multiplier
M18	16.0
N18	12.0
O18	21.0
B19	Defense Multiplier
M19	17.0
N19	12.0
O19	22.0
B20	Resistance Multiplier
M20	18.0
N20	13.0
O20	24.0
B21	General Dmg Mult
M21	19.0
