SHEET: EffectData
WORKBOOK: Copy of ER - Build Planner v1.19.1.xlsx
USED RANGE: A1:AW532
NONEMPTY CELLS: 25257
FORMULA CELLS: 27

This file is for an LLM that must rebuild these calculations in another language. Treat formulas as the source of truth. Cached/fallback values are only for checking a port. Skip spill_cache cells; they are not logic.

VISIBILITY: hidden
STATIC / INPUT / LABEL CELLS (25230):
coord	value
E1	-1.0
F1	-1.0
G1	0.0
H1	0.0
I1	0.0
J1	0.0
K1	0.0
L1	0.0
M1	0.0
N1	0.0
O1	1.0
P1	1.0
Q1	1.0
R1	1.0
S1	1.0
T1	1.0
U1	1.0
V1	1.0
W1	1.0
X1	1.0
Y1	1.0
Z1	1.0
AA1	1.0
AB1	1.0
AC1	1.0
AD1	1.0
AE1	1.0
AF1	1.0
AG1	1.0
AH1	1.0
AI1	1.0
AJ1	1.0
AK1	0.0
AL1	0.0
AM1	0.0
AN1	0.0
AO1	0.0
AP1	0.0
AQ1	0.0
AR1	1.0
AS1	1.0
AT1	1.0
AU1	1.0
AV1	1.0
AW1	0.0
A2	Name
B2	Effects
C2	Overwrite Effects
D2	Import Effects
E2	conditionHp
F2	conditionHpRate
G2	addLifeForceStatus
H2	addWillpowerStatus
I2	addEndureStatus
J2	addStrengthStatus
K2	addDexterityStatus
L2	addMagicStatus
M2	addFaithStatus
N2	addLuckStatus
O2	maxHpRate
P2	maxMpRate
Q2	maxStaminaRate
R2	equipWeightChangeRate
S2	neutralDamageCutRate
T2	blowDamageCutRate
U2	slashDamageCutRate
V2	thrustDamageCutRate
W2	magicDamageCutRate
X2	fireDamageCutRate
Y2	thunderDamageCutRate
Z2	darkDamageCutRate
AA2	defEnemyDmgCorrectRate_Physics
AB2	defEnemyDmgCorrectRate_Magic
AC2	defEnemyDmgCorrectRate_Fire
AD2	defEnemyDmgCorrectRate_Thunder
AE2	defEnemyDmgCorrectRate_Dark
AF2	defPlayerDmgCorrectRate_Physics
AG2	defPlayerDmgCorrectRate_Magic
AH2	defPlayerDmgCorrectRate_Fire
AI2	defPlayerDmgCorrectRate_Thunder
AJ2	defPlayerDmgCorrectRate_Dark
AK2	changePoisonResistPoint
AL2	changeDiseaseResistPoint
AM2	changeBloodResistPoint
AN2	changeFreezeResistPoint
AO2	changeSleepResistPoint
AP2	changeMadnessResistPoint
AQ2	changeCurseResistPoint
AR2	physicsAttackPowerRate
AS2	magicAttackPowerRate
AT2	fireAttackPowerRate
AU2	thunderAttackPowerRate
AV2	darkAttackPowerRate
AW2	itemDropRate
A3	Celebrant's Sickle
D3	Gain 10 runes on hit
E3	-1.0
F3	-1.0
G3	0.0
H3	0.0
I3	0.0
J3	0.0
K3	0.0
L3	0.0
M3	0.0
N3	0.0
O3	1.0
P3	1.0
Q3	1.0
R3	1.0
S3	1.0
T3	1.0
U3	1.0
V3	1.0
W3	1.0
X3	1.0
Y3	1.0
Z3	1.0
AA3	1.0
AB3	1.0
AC3	1.0
AD3	1.0
AE3	1.0
AF3	1.0
AG3	1.0
AH3	1.0
AI3	1.0
AJ3	1.0
AK3	0.0
AL3	0.0
AM3	0.0
AN3	0.0
AO3	0.0
AP3	0.0
AQ3	0.0
AR3	1.0
AS3	1.0
AT3	1.0
AU3	1.0
AV3	1.0
AW3	0.0
A4	Cinquedea
B4	Increases damage by 1.1x (holy bugged in PvP: 1x) with bestial incantations
D4	Increases damage by 1.1x (holy bugged in PvP: 1x) with bestial incantations
E4	-1.0
F4	-1.0
G4	0.0
H4	0.0
I4	0.0
J4	0.0
K4	0.0
L4	0.0
M4	0.0
N4	0.0
O4	1.0
P4	1.0
Q4	1.0
R4	1.0
S4	1.0
T4	1.0
U4	1.0
V4	1.0
W4	1.0
X4	1.0
Y4	1.0
Z4	1.0
AA4	1.0
AB4	1.0
AC4	1.0
AD4	1.0
AE4	1.0
AF4	1.0
AG4	1.0
AH4	1.0
AI4	1.0
AJ4	1.0
AK4	0.0
AL4	0.0
AM4	0.0
AN4	0.0
AO4	0.0
AP4	0.0
AQ4	0.0
AR4	1.0
AS4	1.0
AT4	1.0
AU4	1.0
AV4	1.0
AW4	0.0
A5	Golden Epitaph
B5	Increases damage by 1.3x to Those Who Live in Death enemies
D5	Increases damage by 1.3x to Those Who Live in Death enemies
E5	-1.0
F5	-1.0
G5	0.0
H5	0.0
I5	0.0
J5	0.0
K5	0.0
L5	0.0
M5	0.0
N5	0.0
O5	1.0
P5	1.0
Q5	1.0
R5	1.0
S5	1.0
T5	1.0
U5	1.0
V5	1.0
W5	1.0
X5	1.0
Y5	1.0
Z5	1.0
AA5	1.0
AB5	1.0
AC5	1.0
AD5	1.0
AE5	1.0
AF5	1.0
AG5	1.0
AH5	1.0
AI5	1.0
AJ5	1.0
AK5	0.0
AL5	0.0
AM5	0.0
AN5	0.0
AO5	0.0
AP5	0.0
AQ5	0.0
AR5	1.0
AS5	1.0
AT5	1.0
AU5	1.0
AV5	1.0
AW5	0.0
A6	Inseparable Sword
B6	Increases damage by 1.2x to Those Who Live in Death enemies
D6	Increases damage by 1.2x to Those Who Live in Death enemies
E6	-1.0
F6	-1.0
G6	0.0
H6	0.0
I6	0.0
J6	0.0
K6	0.0
L6	0.0
M6	0.0
N6	0.0
O6	1.0
P6	1.0
Q6	1.0
R6	1.0
S6	1.0
T6	1.0
U6	1.0
V6	1.0
W6	1.0
X6	1.0
Y6	1.0
Z6	1.0
AA6	1.0
AB6	1.0
AC6	1.0
