SHEET: OptimalAffinityCalcData
WORKBOOK: Copy of ER - Build Planner v1.19.1.xlsx
USED RANGE: A1:CY58
NONEMPTY CELLS: 1432
FORMULA CELLS: 1255

This file is for an LLM that must rebuild these calculations in another language. Treat formulas as the source of truth. Cached/fallback values are only for checking a port. Skip spill_cache cells; they are not logic.

STATIC / INPUT / LABEL CELLS (177):
coord	value
D1	sort
F1	Affinity
G1	ID
H1	reinforceTypeId
I1	attackElementCorrectId
J1	attackBasePhysics
K1	attackBaseMagic
L1	attackBaseFire
M1	attackBaseThunder
N1	attackBaseDark
O1	correctStrengthRate
P1	correctAgilityRate
Q1	correctMagicRate
R1	correctFaithRate
S1	correctLuckRate
T1	correctStrength
U1	correctAgility
V1	correctMagic
W1	correctFaith
X1	correctLuck
Y1	correctType_Physics
Z1	correctType_Magic
AA1	correctType_Fire
AB1	correctType_Thunder
AC1	correctType_Dark
AD1	StrengthCorrect_byPhysics
AE1	StrengthCorrect_byMagic
AF1	StrengthCorrect_byFire
AG1	StrengthCorrect_byThunder
AH1	StrengthCorrect_byDark
AI1	DexterityCorrect_byPhysics
AJ1	DexterityCorrect_byMagic
AK1	DexterityCorrect_byFire
AL1	DexterityCorrect_byThunder
AM1	DexterityCorrect_byDark
AN1	MagicCorrect_byPhysics
AO1	MagicCorrect_byMagic
AP1	MagicCorrect_byFire
AQ1	MagicCorrect_byThunder
AR1	MagicCorrect_byDark
AS1	FaithCorrect_byPhysics
AT1	FaithCorrect_byMagic
AU1	FaithCorrect_byFire
AV1	FaithCorrect_byThunder
AW1	FaithCorrect_byDark
AX1	LuckCorrect_byPhysics
AY1	LuckCorrect_byMagic
AZ1	LuckCorrect_byFire
BA1	LuckCorrect_byThunder
BB1	LuckCorrect_byDark
BC1	overwriteStrengthCorrectRate_byPhysics
BD1	overwriteStrengthCorrectRate_byMagic
BE1	overwriteStrengthCorrectRate_byFire
BF1	overwriteStrengthCorrectRate_ByThunder
BG1	overwriteStrengthCorrectRate_byDark
BH1	overwriteDexterityCorrectRate_byPhysics
BI1	overwriteDexterityCorrectRate_byMagic
BJ1	overwriteDexterityCorrectRate_byFire
BK1	overwriteDexterityCorrectRate_ByThunder
BL1	overwriteDexterityCorrectRate_byDark
BM1	overwriteMagicCorrectRate_byPhysics
BN1	overwriteMagicCorrectRate_byMagic
BO1	overwriteMagicCorrectRate_byFire
BP1	overwriteMagicCorrectRate_ByThunder
BQ1	overwriteMagicCorrectRate_byDark
BR1	overwriteFaithCorrectRate_byPhysics
BS1	overwriteFaithCorrectRate_byMagic
BT1	overwriteFaithCorrectRate_byFire
BU1	overwriteFaithCorrectRate_ByThunder
BV1	overwriteFaithCorrectRate_byDark
BW1	overwriteLuckCorrectRate_byPhysics
BX1	overwriteLuckCorrectRate_byMagic
