SHEET: OptimalCatalystCalcData
WORKBOOK: Copy of ER - Build Planner v1.19.1.xlsx
USED RANGE: A1:BD34
NONEMPTY CELLS: 1381
FORMULA CELLS: 1146

This file is for an LLM that must rebuild these calculations in another language. Treat formulas as the source of truth. Cached/fallback values are only for checking a port. Skip spill_cache cells; they are not logic.

STATIC / INPUT / LABEL CELLS (235):
coord	value
D1	sort
F1	filter
G1	meet requirements
H1	filter2
I1	name
J1	spell buff
K1	int sb
L1	faith sb
M1	bonus type
N1	bonus
P1	Catalyst
Q1	ID
R1	Reinforcement Level
S1	reinforceTypeId
T1	Base SB
U1	correctStrength
V1	correctAgility
W1	correctMagic
X1	correctFaith
Y1	correctLuck
Z1	correctType_Physics
AA1	correctType_Magic
AB1	correctType_Fire
AC1	correctType_Thunder
AD1	correctType_Dark
AE1	attackElementCorrectId
AF1	StrScale
AG1	DexScale
AH1	IntScale
AI1	FthScale
AJ1	ArcScale
AK1	str sb
AL1	dex sb
AM1	int sb
AN1	faith sb
AO1	arcane sb
AP1	spell buff
AQ1	properStrength
AR1	properAgility
AS1	properMagic
AT1	properFaith
AU1	properLuck
AV1	meet requirements
AW1	name
AX1	enableMagic
AY1	enableMiracle
BA1	Special Reinforcement
BB1	StandardReinforcement
BD1	defaults
A2	Standard Reinforcement
P2	Carian Sorcery Sword
Q2	2530000.0
T2	100.0
BA2	0.0
BB2	0.0
A3	Special Reinforcement
G3	FALSE
P3	Astrologer's Staff
Q3	33130000.0
T3	100.0
BA3	1.0
BB3	1.0
BD3	13.0
A4	Strength
G4	FALSE
P4	Glintstone Staff
Q4	33000000.0
T4	100.0
BA4	2.0
BB4	2.0
BD4	9.0
A5	Dexterity
G5	FALSE
P5	Academy Glintstone Staff
Q5	33200000.0
T5	100.0
BA5	3.0
BB5	3.0
BD5	9.0
A6	Intelligence
G6	FALSE
P6	Digger's Staff
Q6	33120000.0
T6	100.0
BA6	4.0
BB6	4.0
BD6	7.0
A7	Faith
G7	FALSE
P7	Demi-Human Queen's Staff
Q7	33060000.0
T7	100.0
BA7	5.0
BB7	5.0
A8	Arcane
G8	FALSE
P8	Azur's Glintstone Staff
Q8	33230000.0
T8	100.0
BA8	6.0
BB8	6.0
A9	Effective Only
G9	FALSE
P9	Lusat's Glintstone Staff
Q9	33240000.0
T9	100.0
BA9	7.0
BB9	7.0
