SHEET: WeaponData
WORKBOOK: Copy of ER - Build Planner v1.19.1.xlsx
USED RANGE: A1:P571
NONEMPTY CELLS: 5219
FORMULA CELLS: 3

This file is for an LLM that must rebuild these calculations in another language. Treat formulas as the source of truth. Cached/fallback values are only for checking a port. Skip spill_cache cells; they are not logic.

VISIBILITY: hidden
STATIC / INPUT / LABEL CELLS (5216):
coord	value
A1	Weapon Class
B1	Weapon
C1	ID
D1	isInfuse
E1	isReinforce
F1	isUnique
G1	bothHandsAtkBonus
H1	throwable
I1	waAttackElementCorrectId
J1	specialStatusSpEffectId
K1	castingBonusType
L1	castingBonusRate
M1	defaultPhysType
O1	Infusion
P1	Offset
A2	Dagger
B2	Dagger
C2	1000000.0
G2	TRUE
H2	FALSE
M2	Slash
O2	Standard
P2	0.0
A3	Dagger
B3	Parrying Dagger
C3	1020000.0
D3	TRUE
E3	TRUE
F3	FALSE
G3	TRUE
H3	FALSE
M3	Slash
O3	Heavy
P3	100.0
A4	Dagger
B4	Miséricorde
C4	1030000.0
D4	TRUE
E4	TRUE
F4	FALSE
G4	TRUE
H4	FALSE
M4	Slash
O4	Keen
P4	200.0
A5	Dagger
B5	Great Knife
C5	1090000.0
D5	TRUE
E5	TRUE
F5	FALSE
G5	TRUE
H5	FALSE
M5	Slash
O5	Quality
P5	300.0
A6	Dagger
B6	Bloodstained Dagger
C6	1140000.0
D6	TRUE
E6	TRUE
F6	FALSE
G6	TRUE
H6	FALSE
M6	Slash
O6	Fire
P6	400.0
A7	Dagger
B7	Erdsteel Dagger
C7	1150000.0
D7	TRUE
E7	TRUE
F7	FALSE
G7	TRUE
H7	FALSE
M7	Slash
O7	Flame Art
P7	500.0
A8	Dagger
B8	Fire Knight's Shortsword
C8	1510000.0
D8	TRUE
E8	TRUE
F8	FALSE
G8	TRUE
H8	FALSE
M8	Slash
O8	Lightning
P8	600.0
A9	Dagger
B9	Wakizashi
C9	1100000.0
D9	TRUE
E9	TRUE
F9	FALSE
G9	TRUE
H9	FALSE
M9	Slash
O9	Sacred
P9	700.0
A10	Dagger
B10	Main-gauche
C10	1500000.0
D10	TRUE
E10	TRUE
F10	FALSE
G10	TRUE
H10	FALSE
M10	Slash
O10	Magic
P10	800.0
A11	Dagger
